Gene ID	log2FoldChange	padj
GSBRNA2T00053919001	3.641890156	3.88E-11
GSBRNA2T00037243001	3.639243306	1.43E-08
GSBRNA2T00005230001	3.637725762	9.14E-09
GSBRNA2T00127564001	3.62837003	0.006213374
GSBRNA2T00114129001	3.625909825	8.82E-12
GSBRNA2T00152253001	3.625528715	0.009412824
GSBRNA2T00105460001	3.623909049	6.74E-20
GSBRNA2T00063213001	3.619164489	0.001581644
GSBRNA2T00076128001	3.610691642	6.74E-20
GSBRNA2T00045121001	3.607570876	0.000787818
GSBRNA2T00061285001	3.600511606	2.36E-05
GSBRNA2T00097709001	3.598399163	4.48E-05
GSBRNA2T00092640001	3.595076889	2.80E-07
GSBRNA2T00107067001	3.591378967	0.006236122
GSBRNA2T00151607001	3.59059695	0.001715832
GSBRNA2T00129952001	3.590574372	0.049863542
GSBRNA2T00023414001	3.586863019	0.006274593
GSBRNA2T00157105001	3.582944644	4.08E-06
GSBRNA2T00008163001	3.568227008	3.62E-09
GSBRNA2T00026320001	3.553407318	0.021101156
GSBRNA2T00118770001	3.549787869	0.016695758
GSBRNA2T00085931001	3.538298365	7.67E-08
GSBRNA2T00100211001	3.536058617	0.004927839
GSBRNA2T00075298001	3.524203072	0.033594772
GSBRNA2T00049054001	3.516435199	0.008972434
GSBRNA2T00052214001	3.508012236	2.59E-05
GSBRNA2T00121602001	3.507855006	0.007352558
GSBRNA2T00051870001	3.507248949	5.91E-07
GSBRNA2T00151868001	3.504829322	0.003056804
GSBRNA2T00050433001	3.503366707	0.02393731
GSBRNA2T00103082001	3.490742328	6.78E-05
GSBRNA2T00080096001	3.490676147	2.62E-05
GSBRNA2T00016021001	3.489911964	1.26E-05
GSBRNA2T00021285001	3.485620906	0.000193151
GSBRNA2T00015143001	3.484732003	0.030535098
GSBRNA2T00009379001	3.484129895	0.00073391
GSBRNA2T00120710001	3.479993806	1.12E-12
GSBRNA2T00128425001	3.476464091	0.000117208
GSBRNA2T00024115001	3.470345765	3.68E-05
GSBRNA2T00014673001	3.465775146	1.72E-06
GSBRNA2T00141057001	3.462766944	2.21E-06
GSBRNA2T00010077001	3.460938868	0.051358942
GSBRNA2T00136007001	3.450109618	1.69E-05
GSBRNA2T00145900001	3.442658528	0.000913774
GSBRNA2T00095512001	3.440716938	5.63E-07
GSBRNA2T00041259001	3.435991675	2.16E-10
GSBRNA2T00049100001	3.426875121	0.012078556
GSBRNA2T00062630001	3.419104985	1.51E-05
GSBRNA2T00094034001	3.417805803	0.037864884
GSBRNA2T00009926001	3.417249152	5.63E-12
GSBRNA2T00063199001	3.413726059	0.000242555
GSBRNA2T00098855001	3.412711124	0.050161752
GSBRNA2T00019387001	3.407358914	0.002512285
GSBRNA2T00049410001	3.400667271	0.009032917
GSBRNA2T00091097001	3.394090704	1.42E-07
GSBRNA2T00086287001	3.392253248	0.02027094
GSBRNA2T00029904001	3.382980672	0.042941192
GSBRNA2T00100455001	3.37506472	3.85E-08
GSBRNA2T00053635001	3.36729185	0.021119542
GSBRNA2T00051552001	3.36638492	0.000352091
GSBRNA2T00116512001	3.36567756	0.000151817
GSBRNA2T00009381001	3.363936481	5.55E-07
GSBRNA2T00109784001	3.350872981	0.038755448
GSBRNA2T00091084001	3.341194911	0.000157035
GSBRNA2T00083087001	3.341126474	0.000132076
GSBRNA2T00135866001	3.332300237	5.04E-06
GSBRNA2T00155965001	3.321848519	0.047765832
GSBRNA2T00111327001	3.321758448	0.016541309
GSBRNA2T00110460001	3.31884329	0.012159924
GSBRNA2T00074112001	3.318737541	7.50E-06
GSBRNA2T00082260001	3.315693497	0.016374045
GSBRNA2T00113647001	3.314035009	0.000488837
GSBRNA2T00019330001	3.310800333	0.0001504
GSBRNA2T00054199001	3.307736104	1.31E-06
GSBRNA2T00068067001	3.28996193	0.000134461
GSBRNA2T00062846001	3.286303406	0.028019129
GSBRNA2T00089390001	3.283694506	0.00052097
GSBRNA2T00120459001	3.278710479	0.027842499
GSBRNA2T00136125001	3.268621211	0.000191537
GSBRNA2T00053648001	3.259129533	0.000105868
GSBRNA2T00015331001	3.253011956	1.25E-05
GSBRNA2T00136233001	3.252573805	0.000773193
GSBRNA2T00086350001	3.251895967	0.001585189
GSBRNA2T00105374001	3.243194739	5.84E-11
GSBRNA2T00102479001	3.240930668	0.00131008
GSBRNA2T00104970001	3.235618921	0.007703243
GSBRNA2T00136178001	3.235220833	1.00E-05
GSBRNA2T00016616001	3.232350827	0.000626669
GSBRNA2T00111499001	3.226333724	7.96E-08
GSBRNA2T00027617001	3.214458004	4.75E-10
GSBRNA2T00149240001	3.212147669	0.007583788
GSBRNA2T00075001001	3.206933571	0.047202549
GSBRNA2T00094193001	3.206294764	2.96E-05
GSBRNA2T00075632001	3.203422651	0.000159617
GSBRNA2T00149081001	3.203407798	0.000897657
GSBRNA2T00074939001	3.201948738	0.019523033
GSBRNA2T00141061001	3.201455605	0.000154304
GSBRNA2T00142103001	3.200978033	0.036059791
GSBRNA2T00035235001	3.19574438	0.006538711
GSBRNA2T00004329001	3.194884181	4.73E-05
GSBRNA2T00032869001	3.189665159	0.000112141
GSBRNA2T00074574001	3.188298262	0.000173474
GSBRNA2T00083057001	3.181181024	9.27E-06
GSBRNA2T00082067001	3.175448997	0.00015948
GSBRNA2T00015277001	3.170666435	0.002351091
GSBRNA2T00037301001	3.167037826	0.000470658
GSBRNA2T00094536001	3.166662076	2.28E-09
GSBRNA2T00001024001	3.166338495	1.31E-11
GSBRNA2T00009977001	3.165517084	1.69E-06
GSBRNA2T00118418001	3.16510083	1.34E-05
GSBRNA2T00072569001	3.161226129	0.001537506
GSBRNA2T00000670001	3.155671818	0.001106117
GSBRNA2T00049707001	3.154477277	0.002961831
GSBRNA2T00121312001	3.15444047	8.15E-06
GSBRNA2T00072697001	3.140512406	0.044221892
GSBRNA2T00142208001	3.140065645	0.046810089
GSBRNA2T00017978001	3.136682731	0.002305347
GSBRNA2T00096609001	3.130199489	0.006354339
GSBRNA2T00004573001	3.12182664	0.005511191
GSBRNA2T00107287001	3.118581682	0.006810229
GSBRNA2T00077293001	3.117886949	1.23E-05
GSBRNA2T00066359001	3.11692807	0.001070324
GSBRNA2T00005582001	3.104686273	1.89E-05
GSBRNA2T00095873001	3.103576256	0.026877987
GSBRNA2T00034858001	3.102217155	1.82E-05
GSBRNA2T00100795001	3.101217832	0.024911939
GSBRNA2T00098498001	3.099593159	0.025047271
GSBRNA2T00106939001	3.096650968	0.022915579
GSBRNA2T00123351001	3.096551487	0.046158515
GSBRNA2T00002819001	3.096124031	0.053427567
GSBRNA2T00103604001	3.091879588	3.86E-07
GSBRNA2T00067987001	3.087762646	0.013671902
GSBRNA2T00084755001	3.085539932	6.32E-05
GSBRNA2T00079857001	3.085104343	3.60E-06
GSBRNA2T00100841001	3.081958059	0.009343806
GSBRNA2T00062743001	3.081806152	0.037138135
GSBRNA2T00047487001	3.081024206	0.002224099
GSBRNA2T00054497001	3.08008234	0.019743187
GSBRNA2T00003568001	3.067373526	0.013468627
GSBRNA2T00122885001	3.06558848	3.40E-05
GSBRNA2T00024078001	3.064714598	4.30E-11
GSBRNA2T00126971001	3.06276879	0.010193684
GSBRNA2T00063814001	3.061457684	0.015471724
GSBRNA2T00053889001	3.055274998	1.52E-08
GSBRNA2T00088190001	3.051953062	4.95E-05
GSBRNA2T00104397001	3.050276073	0.026343044
GSBRNA2T00098027001	3.049234897	0.019245922
GSBRNA2T00127570001	3.039521494	0.000284363
GSBRNA2T00004612001	3.035750173	0.000881317
GSBRNA2T00053949001	3.031165453	0.00073391
GSBRNA2T00145769001	3.029691209	0.001066983
GSBRNA2T00102053001	3.028742541	0.006686274
GSBRNA2T00108804001	3.0243121	0.002152743
GSBRNA2T00017809001	3.023269526	0.000607256
GSBRNA2T00107727001	3.021976255	0.002386135
GSBRNA2T00081934001	3.021125897	7.81E-12
GSBRNA2T00038680001	3.02098458	3.69E-07
GSBRNA2T00100754001	3.016805701	0.000697548
GSBRNA2T00078239001	3.016434383	0.001663278
GSBRNA2T00136001001	3.014842949	0.000949007
GSBRNA2T00041373001	3.013557828	2.36E-08
GSBRNA2T00081109001	3.010933569	0.037894448
GSBRNA2T00026176001	3.010052517	0.009911009
GSBRNA2T00024490001	3.006870768	0.023608428
GSBRNA2T00004842001	3.002777652	0.050796296
GSBRNA2T00082740001	3.000001282	0.001479571
GSBRNA2T00036368001	2.999465431	8.55E-07
GSBRNA2T00156114001	2.998936218	0.003422617
GSBRNA2T00112116001	2.998534126	0.026943291
GSBRNA2T00137432001	2.992488524	0.035454508
GSBRNA2T00026935001	2.984487809	0.000792466
GSBRNA2T00012445001	2.980935336	2.43E-10
GSBRNA2T00093777001	2.980660243	0.000469878
GSBRNA2T00010519001	2.979423449	5.78E-07
GSBRNA2T00014014001	2.97836852	2.26E-05
GSBRNA2T00066234001	2.977891186	4.85E-05
GSBRNA2T00117055001	2.976507132	2.74E-11
GSBRNA2T00102447001	2.973177999	4.28E-05
GSBRNA2T00045471001	2.972407659	0.000359055
GSBRNA2T00009890001	2.971904981	0.001013451
GSBRNA2T00076442001	2.964760674	0.018535857
GSBRNA2T00016149001	2.952846859	0.023535755
GSBRNA2T00087177001	2.94999134	2.64E-07
GSBRNA2T00111196001	2.943695235	0.018534172
GSBRNA2T00149923001	2.942494583	0.002814243
GSBRNA2T00117036001	2.937985789	6.26E-10
GSBRNA2T00086244001	2.934167859	0.002255319
GSBRNA2T00151000001	2.934151385	6.85E-06
GSBRNA2T00024239001	2.933864714	1.26E-14
GSBRNA2T00047986001	2.930653202	0.041780268
GSBRNA2T00006584001	2.930260715	0.001023995
GSBRNA2T00133540001	2.928592759	0.00026849
GSBRNA2T00130296001	2.927640659	0.000125008
GSBRNA2T00107101001	2.926727432	0.001098394
GSBRNA2T00038577001	2.923460838	4.23E-05
GSBRNA2T00008096001	2.921040935	0.002165091
GSBRNA2T00095351001	2.916326293	0.02405154
GSBRNA2T00109128001	2.915180504	3.16E-09
GSBRNA2T00096949001	2.914517131	0.00205508
GSBRNA2T00131307001	2.91334337	0.0184201
GSBRNA2T00128832001	2.912480565	0.010560852
GSBRNA2T00027618001	2.907924785	0.036262716
GSBRNA2T00102035001	2.90666737	0.000461294
GSBRNA2T00058334001	2.904778114	2.45E-07
GSBRNA2T00035591001	2.901985083	0.001633818
GSBRNA2T00057309001	2.899501501	0.006710276
GSBRNA2T00132585001	2.897785637	0.004272652
GSBRNA2T00071469001	2.894490465	0.013850662
GSBRNA2T00149865001	2.893767837	9.01E-05
GSBRNA2T00144400001	2.890608672	7.64E-08
GSBRNA2T00062239001	2.88956156	0.028552434
GSBRNA2T00100456001	2.880681719	2.46E-05
GSBRNA2T00112619001	2.880310055	0.003035189
GSBRNA2T00058933001	2.877760021	0.03359512
GSBRNA2T00000806001	2.876633499	0.001291304
GSBRNA2T00101565001	2.876550673	0.050058644
GSBRNA2T00078192001	2.87590849	3.71E-08
GSBRNA2T00083969001	2.875445274	2.04E-07
GSBRNA2T00089162001	2.875117139	1.37E-05
GSBRNA2T00099474001	2.875112132	0.014751828
GSBRNA2T00056666001	2.874695308	0.018409913
GSBRNA2T00065609001	2.868016124	0.008510736
GSBRNA2T00134492001	2.867478691	0.053797955
GSBRNA2T00091658001	2.866344599	0.017154491
GSBRNA2T00127930001	2.866234313	8.22E-07
GSBRNA2T00039970001	2.86507727	3.55E-05
GSBRNA2T00100165001	2.85839632	0.00799988
GSBRNA2T00111182001	2.858087422	0.001188117
GSBRNA2T00010297001	2.854415421	0.003160193
GSBRNA2T00116440001	2.852014374	0.003105348
GSBRNA2T00047270001	2.850144563	9.07E-05
GSBRNA2T00049033001	2.850070463	0.000405733
GSBRNA2T00070465001	2.849260649	0.000894282
GSBRNA2T00116244001	2.84908377	0.009098683
GSBRNA2T00066288001	2.843909524	0.00056412
GSBRNA2T00045033001	2.843888405	0.00381926
GSBRNA2T00108751001	2.843446594	0.020640556
GSBRNA2T00074172001	2.84317889	0.00774244
GSBRNA2T00102201001	2.841268388	2.09E-09
GSBRNA2T00009965001	2.839795032	0.000728283
GSBRNA2T00136175001	2.83728644	0.052492221
GSBRNA2T00105262001	2.836416151	2.63E-06
GSBRNA2T00136179001	2.83584908	0.034880943
GSBRNA2T00003440001	2.834246597	0.017514897
GSBRNA2T00056410001	2.833762386	0.022346804
GSBRNA2T00047720001	2.832844021	0.016666766
GSBRNA2T00125288001	2.831922883	0.018331228
GSBRNA2T00150794001	2.83145328	0.050343161
GSBRNA2T00028916001	2.82974695	0.025394837
GSBRNA2T00112752001	2.826393425	0.012873457
GSBRNA2T00066118001	2.824958875	0.00041067
GSBRNA2T00024758001	2.822755065	9.94E-06
GSBRNA2T00156858001	2.819534553	0.000502321
GSBRNA2T00146148001	2.819332559	0.02945781
GSBRNA2T00137740001	2.818386499	0.043489533
GSBRNA2T00075489001	2.815969474	0.002386135
GSBRNA2T00076324001	2.815606565	1.29E-05
GSBRNA2T00063274001	2.812050976	0.043535284
GSBRNA2T00104806001	2.809965405	1.64E-15
GSBRNA2T00119963001	2.809917925	1.10E-07
GSBRNA2T00095174001	2.808038103	1.62E-09
GSBRNA2T00022179001	2.807767013	0.000372685
GSBRNA2T00100389001	2.805839961	0.01245237
GSBRNA2T00029422001	2.801819192	0.000218843
GSBRNA2T00004470001	2.798110712	1.41E-05
GSBRNA2T00037179001	2.797200027	0.000506379
GSBRNA2T00071983001	2.796597147	0.001827817
GSBRNA2T00001506001	2.793922169	0.000325614
GSBRNA2T00008699001	2.79381654	2.19E-15
GSBRNA2T00095701001	2.793584267	0.007529099
GSBRNA2T00151077001	2.791362451	4.42E-05
GSBRNA2T00136751001	2.789213999	8.88E-06
GSBRNA2T00122768001	2.788562773	0.020779446
GSBRNA2T00024241001	2.785766136	0.000676783
GSBRNA2T00081051001	2.785171165	0.010820753
GSBRNA2T00099690001	2.783994327	0.003035189
GSBRNA2T00090811001	2.783809618	0.005198172
GSBRNA2T00060253001	2.78300399	0.001633818
GSBRNA2T00136322001	2.782823071	9.24E-09
GSBRNA2T00131669001	2.77859088	0.002048663
GSBRNA2T00131077001	2.77651173	0.000528502
GSBRNA2T00157107001	2.775893501	0.00739301
GSBRNA2T00092243001	2.770449681	0.002779076
GSBRNA2T00010055001	2.769590952	0.018762649
GSBRNA2T00021148001	2.767402402	0.004003478
GSBRNA2T00107083001	2.766827555	0.02881055
GSBRNA2T00023233001	2.766280134	0.009550151
GSBRNA2T00112218001	2.76626015	2.41E-08
GSBRNA2T00104770001	2.763707888	0.000259606
GSBRNA2T00022679001	2.760263251	0.000175497
GSBRNA2T00015880001	2.756242723	0.000697011
GSBRNA2T00141719001	2.755462927	0.002532267
GSBRNA2T00008171001	2.747901575	0.013978271
GSBRNA2T00032026001	2.745500331	0.033103891
GSBRNA2T00075887001	2.739058934	6.21E-08
GSBRNA2T00120682001	2.738513933	0.00373991
GSBRNA2T00138815001	2.737232476	0.000683305
GSBRNA2T00132774001	2.734301796	6.70E-09
GSBRNA2T00127532001	2.731405589	6.59E-05
GSBRNA2T00009760001	2.73065509	0.054509876
GSBRNA2T00011472001	2.728221973	0.003294475
GSBRNA2T00037296001	2.727980119	0.028063236
GSBRNA2T00140590001	2.723902463	0.000308959
GSBRNA2T00018128001	2.721662274	0.000557912
GSBRNA2T00132319001	2.720347925	2.76E-07
GSBRNA2T00028395001	2.719759795	8.15E-06
GSBRNA2T00130580001	2.719198512	0.03306646
GSBRNA2T00090704001	2.716531084	1.23E-06
GSBRNA2T00055098001	2.714597052	0.004450654
GSBRNA2T00036803001	2.714088865	0.001852201
GSBRNA2T00017092001	2.71351708	1.17E-07
GSBRNA2T00069292001	2.713164238	2.21E-07
GSBRNA2T00046775001	2.706047047	0.051135753
GSBRNA2T00084196001	2.696610665	2.35E-05
GSBRNA2T00044723001	2.694730775	0.00036873
GSBRNA2T00044603001	2.68983531	1.83E-12
GSBRNA2T00032163001	2.689548261	0.02088207
GSBRNA2T00024623001	2.685646193	6.77E-05
GSBRNA2T00105361001	2.685216052	0.003599468
GSBRNA2T00068066001	2.685060598	0.033535428
GSBRNA2T00157790001	2.684422483	0.014525684
GSBRNA2T00153604001	2.683666477	1.00E-06
GSBRNA2T00147807001	2.681441908	0.003294475
GSBRNA2T00031316001	2.68003155	0.009032115
GSBRNA2T00116900001	2.679646115	0.023470944
GSBRNA2T00103407001	2.679440381	6.29E-10
GSBRNA2T00035090001	2.676791958	0.006637567
GSBRNA2T00154795001	2.676762332	0.052725358
GSBRNA2T00061013001	2.676318322	0.0020438
GSBRNA2T00094461001	2.675993795	0.001931972
GSBRNA2T00126208001	2.67120197	6.54E-05
GSBRNA2T00013767001	2.668405115	1.75E-05
GSBRNA2T00074032001	2.667423823	0.000213057
GSBRNA2T00112701001	2.665106692	3.86E-07
GSBRNA2T00136273001	2.664476711	0.000169297
GSBRNA2T00102099001	2.66238657	0.000532186
GSBRNA2T00106056001	2.661379019	0.001350255
GSBRNA2T00129449001	2.660844978	0.018127284
GSBRNA2T00081744001	2.660162402	0.005957609
GSBRNA2T00095706001	2.64778394	2.14E-06
GSBRNA2T00024910001	2.645472785	0.011034748
GSBRNA2T00111281001	2.644276534	6.53E-05
GSBRNA2T00095333001	2.643377916	2.89E-07
GSBRNA2T00119497001	2.642854449	0.047838581
GSBRNA2T00064116001	2.640536891	0.036896296
GSBRNA2T00075858001	2.640340438	0.038454676
GSBRNA2T00018349001	2.638604004	0.003389824
GSBRNA2T00143391001	2.637455677	0.049821433
GSBRNA2T00016155001	2.637331218	0.006965334
GSBRNA2T00149628001	2.636180659	0.000740755
GSBRNA2T00031494001	2.631119505	0.025480903
GSBRNA2T00110288001	2.630328364	0.010749401
GSBRNA2T00069584001	2.629610252	0.01521517
GSBRNA2T00100097001	2.628972203	5.91E-07
GSBRNA2T00016009001	2.628563853	0.017199452
GSBRNA2T00019126001	2.62666599	0.012317084
GSBRNA2T00061316001	2.625685605	0.047202549
GSBRNA2T00095866001	2.622185081	0.000171483
GSBRNA2T00127667001	2.621912909	0.011963835
GSBRNA2T00129635001	2.618636201	0.051934855
GSBRNA2T00085059001	2.617232107	0.00339163
GSBRNA2T00059159001	2.617157601	0.012373573
GSBRNA2T00003593001	2.610634829	0.001334695
GSBRNA2T00131061001	2.610086714	0.007703243
GSBRNA2T00023158001	2.608469949	8.83E-05
GSBRNA2T00008553001	2.60705567	0.001809887
GSBRNA2T00145860001	2.604188597	1.98E-06
GSBRNA2T00064573001	2.602926175	0.004627372
GSBRNA2T00150479001	2.59953192	4.05E-05
GSBRNA2T00139395001	2.597389821	0.019727575
GSBRNA2T00063071001	2.595878683	8.55E-07
GSBRNA2T00151242001	2.594575264	0.021841572
GSBRNA2T00002270001	2.59444785	6.23E-05
GSBRNA2T00045032001	2.594087951	0.018238199
GSBRNA2T00088022001	2.593461286	0.006778105
GSBRNA2T00068218001	2.590101422	2.21E-06
GSBRNA2T00039904001	2.590041709	0.047765832
GSBRNA2T00025720001	2.589799413	0.026299687
GSBRNA2T00101603001	2.588972583	0.000221528
GSBRNA2T00079620001	2.587920255	0.000124681
GSBRNA2T00035702001	2.586699458	0.007504686
GSBRNA2T00017868001	2.582794483	5.59E-09
GSBRNA2T00097644001	2.582572722	3.03E-10
GSBRNA2T00041829001	2.581530808	0.027043273
GSBRNA2T00003189001	2.579181204	1.28E-05
GSBRNA2T00136132001	2.578469064	0.043301309
GSBRNA2T00114895001	2.578330547	0.000584159
GSBRNA2T00139259001	2.576772531	0.003601502
GSBRNA2T00097372001	2.576635144	0.004292279
GSBRNA2T00079566001	2.575785893	0.035289337
GSBRNA2T00053759001	2.574246596	0.053096059
GSBRNA2T00108143001	2.573227718	0.004167156
GSBRNA2T00131471001	2.57165039	0.002709173
GSBRNA2T00090970001	2.570880873	0.000124935
GSBRNA2T00003631001	2.569416701	0.017834336
GSBRNA2T00136869001	2.568644954	7.08E-07
GSBRNA2T00125442001	2.564680265	0.007529099
GSBRNA2T00058391001	2.558785198	0.00961886
GSBRNA2T00112295001	2.554119301	0.030083621
GSBRNA2T00145484001	2.553452951	0.008517902
GSBRNA2T00154419001	2.553373141	1.62E-09
GSBRNA2T00000809001	2.546098788	0.006986856
GSBRNA2T00002613001	2.541796137	6.23E-05
GSBRNA2T00123357001	2.540559667	0.037778266
GSBRNA2T00072598001	2.540352432	0.004596926
GSBRNA2T00011970001	2.540098686	5.13E-07
GSBRNA2T00132439001	2.54004965	0.005772073
GSBRNA2T00076566001	2.537705293	4.32E-08
GSBRNA2T00140598001	2.536632415	0.027981851
GSBRNA2T00034694001	2.536291065	0.001075645
GSBRNA2T00094910001	2.535532769	0.000690403
GSBRNA2T00069300001	2.535348952	0.050023542
GSBRNA2T00017125001	2.534738976	0.001149463
GSBRNA2T00129450001	2.529251476	6.09E-06
GSBRNA2T00097592001	2.528663787	0.024067067
GSBRNA2T00023937001	2.527612824	0.018631962
GSBRNA2T00090596001	2.527366704	0.000324058
GSBRNA2T00057113001	2.526871495	0.004661571
GSBRNA2T00109536001	2.526327201	0.000507316
GSBRNA2T00010502001	2.526017066	0.015887169
GSBRNA2T00073184001	2.525736303	0.001728909
GSBRNA2T00094509001	2.52461145	2.95E-06
GSBRNA2T00062685001	2.524510388	0.001312765
GSBRNA2T00135384001	2.524372635	0.002810793
GSBRNA2T00009347001	2.524146065	0.000180722
GSBRNA2T00021630001	2.523628975	0.000529004
