Gene ID	log2FoldChange	padj
GSBRNA2T00024824001	6.567844586	5.87E-07
GSBRNA2T00072343001	6.555375755	1.32E-05
GSBRNA2T00071062001	6.52575201	9.96E-05
GSBRNA2T00142452001	6.525573373	2.16E-29
GSBRNA2T00014187001	6.520987876	1.27E-09
GSBRNA2T00105374001	6.507070778	1.21E-11
GSBRNA2T00120086001	6.496756841	3.99E-10
GSBRNA2T00117041001	6.486682037	3.87E-18
GSBRNA2T00101798001	6.476779139	8.67E-11
GSBRNA2T00085355001	6.467265416	8.78E-25
GSBRNA2T00052140001	6.464633853	0.000198969
GSBRNA2T00056741001	6.435133033	6.54E-07
GSBRNA2T00106944001	6.430234164	8.53E-18
GSBRNA2T00006151001	6.428124162	4.61E-14
GSBRNA2T00075298001	6.423884093	6.97E-06
GSBRNA2T00005230001	6.419800193	1.06E-10
GSBRNA2T00006432001	6.416119686	4.10E-09
GSBRNA2T00139105001	6.406776654	1.24E-11
GSBRNA2T00134440001	6.38615791	4.06E-07
GSBRNA2T00008332001	6.375106163	6.31E-09
GSBRNA2T00097322001	6.357203181	1.14E-22
GSBRNA2T00129422001	6.352234305	1.09E-10
GSBRNA2T00008945001	6.347317481	1.64E-15
GSBRNA2T00090988001	6.338832755	2.38E-09
GSBRNA2T00096592001	6.338799625	5.25E-09
GSBRNA2T00129450001	6.32520992	1.80E-08
GSBRNA2T00078954001	6.324549331	2.47E-08
GSBRNA2T00131669001	6.322963809	4.70E-07
GSBRNA2T00057404001	6.322137309	2.65E-11
GSBRNA2T00118551001	6.290168554	2.93E-05
GSBRNA2T00106217001	6.279634088	5.58E-18
GSBRNA2T00055921001	6.26920598	5.83E-10
GSBRNA2T00015141001	6.257054189	1.50E-19
GSBRNA2T00153645001	6.255145882	4.35E-17
GSBRNA2T00113519001	6.252451324	0.00020239
GSBRNA2T00036898001	6.247539528	7.58E-42
GSBRNA2T00049881001	6.244488529	1.04E-05
GSBRNA2T00083969001	6.24250299	9.60E-13
GSBRNA2T00092243001	6.236097505	1.55E-08
GSBRNA2T00139259001	6.207642068	9.00E-13
GSBRNA2T00132679001	6.193163352	1.28E-07
GSBRNA2T00004470001	6.190559795	1.32E-11
GSBRNA2T00123404001	6.152603263	3.46E-21
GSBRNA2T00147628001	6.147941338	0.000119553
