Gene ID	log2FoldChange	padj
GSBRNA2T00083273001	7.826943228	9.12E-08
GSBRNA2T00014187001	7.72795975	3.73E-09
GSBRNA2T00119824001	7.688816151	8.87E-19
GSBRNA2T00066359001	7.62142969	3.71E-12
GSBRNA2T00099466001	7.540560742	1.38E-09
GSBRNA2T00054525001	7.376953948	2.85E-19
GSBRNA2T00015861001	7.228429924	9.23E-11
GSBRNA2T00151409001	7.120540561	7.15E-05
GSBRNA2T00058962001	7.017834296	1.29E-21
GSBRNA2T00014963001	6.776545464	8.88E-19
GSBRNA2T00151937001	6.740908205	5.41E-31
GSBRNA2T00137717001	6.73594407	3.77E-11
GSBRNA2T00005230001	6.661391973	3.94E-15
GSBRNA2T00119545001	6.644512298	1.18E-13
GSBRNA2T00058004001	6.580362861	5.59E-07
GSBRNA2T00064202001	6.499549053	8.46E-38
GSBRNA2T00075731001	6.432988864	3.57E-10
GSBRNA2T00035567001	6.354226975	3.41E-09
GSBRNA2T00041781001	6.330632624	2.20E-05
GSBRNA2T00015609001	6.310551742	2.15E-19
GSBRNA2T00056251001	6.3056867	2.04E-05
GSBRNA2T00069882001	6.250153694	3.37E-18
GSBRNA2T00007519001	6.200655891	4.69E-07
GSBRNA2T00004612001	6.164589204	0.000255857
GSBRNA2T00134984001	6.13578565	7.61E-10
GSBRNA2T00105262001	6.124453161	1.07E-05
GSBRNA2T00107069001	6.105583199	7.79E-34
GSBRNA2T00083969001	6.061819619	2.65E-24
GSBRNA2T00003882001	6.0284096	0.000314458
GSBRNA2T00143405001	5.966459286	1.04E-28
GSBRNA2T00002751001	5.941319655	3.79E-13
GSBRNA2T00010987001	5.933146217	1.31E-15
GSBRNA2T00079644001	5.921280136	1.41E-07
GSBRNA2T00104891001	5.91616005	7.49E-53
GSBRNA2T00153645001	5.896902654	1.39E-38
GSBRNA2T00101798001	5.856677777	8.82E-07
GSBRNA2T00050955001	5.814367725	5.46E-14
GSBRNA2T00117039001	5.801059335	0.000148641
GSBRNA2T00036898001	5.755898501	3.68E-29
GSBRNA2T00018819001	5.747064472	1.82E-05
GSBRNA2T00062259001	5.725183235	1.28E-22
GSBRNA2T00008945001	5.724417296	1.06E-10
GSBRNA2T00112040001	5.702413483	1.26E-17
GSBRNA2T00078961001	5.650763102	5.45E-28
GSBRNA2T00158091001	5.650363321	8.36E-05
GSBRNA2T00087982001	5.625934081	0.001076906
GSBRNA2T00121258001	5.609470704	1.96E-20
GSBRNA2T00002710001	5.598179989	2.78E-06
GSBRNA2T00069307001	5.580526132	9.67E-11
GSBRNA2T00153073001	5.577697383	4.04E-19
GSBRNA2T00066060001	5.553226455	2.96E-10
GSBRNA2T00043132001	5.496826462	0.000498642
GSBRNA2T00127701001	5.486269285	1.60E-36
GSBRNA2T00138720001	5.478730442	3.08E-05
GSBRNA2T00038118001	5.449152024	2.10E-16
GSBRNA2T00097322001	5.430036505	1.45E-13
GSBRNA2T00090460001	5.42191629	0.006716632
GSBRNA2T00138958001	5.363521428	4.00E-05
GSBRNA2T00098566001	5.335367687	0.00052183
GSBRNA2T00096203001	5.302220514	0.003114573
GSBRNA2T00126366001	5.279123428	1.72E-10
GSBRNA2T00082214001	5.277530856	0.005932325
GSBRNA2T00042946001	5.276613063	0.007060642
GSBRNA2T00120710001	5.264271829	1.78E-25
GSBRNA2T00066763001	5.262401044	5.20E-18
GSBRNA2T00143752001	5.26047226	3.20E-17
GSBRNA2T00054007001	5.232094844	2.72E-14
