Gene ID	log2FoldChange	padj
GSBRNA2T00126311001	11.90390346	3.56E-23
GSBRNA2T00086262001	10.40420392	4.10E-19
GSBRNA2T00092010001	10.14237557	4.23E-12
GSBRNA2T00016693001	9.614551794	3.49E-12
GSBRNA2T00140254001	9.588672046	8.65E-12
GSBRNA2T00006295001	9.362296711	7.03E-10
GSBRNA2T00055129001	9.210971588	3.23E-39
GSBRNA2T00083945001	9.157306287	1.38E-24
GSBRNA2T00129904001	9.116761216	3.76E-18
GSBRNA2T00083969001	9.08835798	4.57E-39
GSBRNA2T00058670001	9.04226718	2.37E-12
GSBRNA2T00062259001	9.031667142	4.53E-57
GSBRNA2T00024239001	8.949905273	5.90E-35
GSBRNA2T00101172001	8.945124729	2.39E-10
GSBRNA2T00132646001	8.882139594	1.11E-19
GSBRNA2T00100565001	8.855073402	3.94E-82
GSBRNA2T00145860001	8.851646741	5.28E-18
GSBRNA2T00024241001	8.838184789	7.07E-17
GSBRNA2T00102479001	8.810997785	8.86E-10
GSBRNA2T00003593001	8.79978395	4.45E-14
GSBRNA2T00089867001	8.766953605	4.21E-21
GSBRNA2T00052390001	8.763679014	1.67E-09
GSBRNA2T00041617001	8.759158014	1.72E-43
GSBRNA2T00049375001	8.745310597	8.42E-19
GSBRNA2T00157104001	8.71166028	1.12E-11
GSBRNA2T00107195001	8.635194028	3.13E-21
GSBRNA2T00125573001	8.617712686	1.41E-08
GSBRNA2T00136616001	8.558872179	7.36E-38
GSBRNA2T00037127001	8.548872907	7.59E-08
GSBRNA2T00020948001	8.50596106	1.24E-15
GSBRNA2T00116968001	8.425420365	1.31E-14
GSBRNA2T00100059001	8.423990356	1.09E-13
GSBRNA2T00001358001	8.400990258	1.01E-31
GSBRNA2T00033141001	8.360506298	1.95E-07
GSBRNA2T00094591001	8.3406814	1.53E-16
GSBRNA2T00047471001	8.314603855	9.53E-27
GSBRNA2T00134491001	8.29846099	5.14E-10
GSBRNA2T00132238001	8.291627305	6.90E-11
GSBRNA2T00017498001	8.276159979	1.84E-28
GSBRNA2T00085448001	8.269074876	2.47E-07
GSBRNA2T00074132001	8.260456026	2.23E-09
GSBRNA2T00024827001	8.230890611	1.18E-23
GSBRNA2T00005230001	8.22717	1.08E-37
GSBRNA2T00115257001	8.168721011	3.07E-51
GSBRNA2T00008096001	8.066693714	3.10E-08
GSBRNA2T00021277001	8.06509931	1.81E-41
GSBRNA2T00132774001	8.046073583	1.39E-23
GSBRNA2T00051870001	8.044257971	1.13E-30
GSBRNA2T00044268001	8.022950434	7.85E-12
GSBRNA2T00053648001	7.9817631	9.21E-08
GSBRNA2T00057370001	7.977169414	9.61E-07
GSBRNA2T00074407001	7.973453397	4.15E-26
GSBRNA2T00047641001	7.97258031	1.35E-13
GSBRNA2T00071506001	7.951781039	2.57E-07
GSBRNA2T00078572001	7.939997353	1.68E-55
GSBRNA2T00066234001	7.933890593	9.48E-09
GSBRNA2T00016992001	7.930440251	1.30E-06
GSBRNA2T00141566001	7.920438978	3.07E-07
GSBRNA2T00040812001	7.916795052	1.10E-17
GSBRNA2T00080986001	7.893830749	4.50E-07
GSBRNA2T00075871001	7.891427889	1.43E-06
GSBRNA2T00117036001	7.889942924	4.07E-31
GSBRNA2T00082353001	7.880932722	1.39E-24
GSBRNA2T00087396001	7.865238958	3.69E-09
GSBRNA2T00121422001	7.861151907	1.97E-35
GSBRNA2T00044886001	7.860233297	3.15E-08
GSBRNA2T00081380001	7.853314829	2.53E-50
GSBRNA2T00021369001	7.85283829	1.91E-07
GSBRNA2T00075731001	7.849467412	1.18E-12
GSBRNA2T00069307001	7.839843972	7.73E-37
GSBRNA2T00005388001	7.83578125	6.14E-06
GSBRNA2T00010329001	7.823951362	1.90E-23
GSBRNA2T00047468001	7.806977726	3.64E-08
GSBRNA2T00114929001	7.797329387	2.23E-06
GSBRNA2T00032032001	7.793079247	2.18E-38
GSBRNA2T00066359001	7.775679229	6.67E-09
GSBRNA2T00007201001	7.775292288	2.91E-07
GSBRNA2T00137392001	7.754001392	7.98E-07
GSBRNA2T00059082001	7.733513514	6.00E-20
GSBRNA2T00000695001	7.733064703	6.67E-24
GSBRNA2T00121254001	7.724985131	1.11E-14
GSBRNA2T00092555001	7.724072409	1.49E-08
GSBRNA2T00001377001	7.719157823	3.66E-08
GSBRNA2T00036681001	7.704598157	1.10E-12
GSBRNA2T00122925001	7.702774526	3.23E-15
GSBRNA2T00061836001	7.698283899	3.67E-06
GSBRNA2T00014923001	7.697838406	2.17E-25
GSBRNA2T00095301001	7.689765972	6.87E-11
GSBRNA2T00080076001	7.685362733	5.22E-87
GSBRNA2T00057053001	7.632517219	3.53E-15
GSBRNA2T00087965001	7.599798404	5.25E-06
GSBRNA2T00158091001	7.588294009	2.94E-07
GSBRNA2T00038109001	7.587639707	1.18E-06
GSBRNA2T00081760001	7.56754225	6.03E-06
GSBRNA2T00079469001	7.539074811	1.94E-12
GSBRNA2T00009926001	7.538403449	5.70E-10
GSBRNA2T00132775001	7.533769129	1.05E-06
GSBRNA2T00129450001	7.513003253	6.45E-18
GSBRNA2T00074926001	7.502202516	8.54E-06
GSBRNA2T00117039001	7.486391382	5.50E-11
GSBRNA2T00000822001	7.480684	6.61E-11
GSBRNA2T00156503001	7.465992206	1.45E-06
GSBRNA2T00031705001	7.445641939	1.92E-07
GSBRNA2T00016476001	7.438115648	2.14E-65
GSBRNA2T00028866001	7.437906442	1.35E-30
GSBRNA2T00116512001	7.416012054	7.12E-12
GSBRNA2T00096519001	7.405955027	1.16E-05
GSBRNA2T00134741001	7.402316386	1.88E-17
GSBRNA2T00069882001	7.399591773	1.49E-32
GSBRNA2T00156224001	7.395122744	8.97E-49
GSBRNA2T00100453001	7.389159403	1.47E-22
GSBRNA2T00096243001	7.382432003	1.06E-10
GSBRNA2T00096082001	7.3503437	2.27E-14
GSBRNA2T00156114001	7.347851024	4.83E-10
GSBRNA2T00041833001	7.34523078	4.39E-09
GSBRNA2T00036779001	7.337556917	2.88E-06
GSBRNA2T00095333001	7.33542451	2.13E-30
GSBRNA2T00025095001	7.332856568	9.74E-09
GSBRNA2T00064202001	7.328400602	3.32E-13
GSBRNA2T00017807001	7.326980294	2.10E-37
GSBRNA2T00008196001	7.321076169	2.30E-49
GSBRNA2T00109128001	7.311099018	2.47E-21
