Gene ID	Root 1 hr log2FoldChange	padj
GSBRNA2T00136361001	2.913129613	0.007649129
GSBRNA2T00080096001	2.912929257	0.0033411
GSBRNA2T00001440001	2.911954319	2.22E-05
GSBRNA2T00065899001	2.911668442	3.21E-06
GSBRNA2T00156198001	2.910549098	0.001136436
GSBRNA2T00045874001	2.908057831	0.045790279
GSBRNA2T00099082001	2.90678683	5.69E-06
GSBRNA2T00150622001	2.906539554	7.49E-05
GSBRNA2T00046263001	2.90564381	0.005636522
GSBRNA2T00154507001	2.905453433	0.007239542
GSBRNA2T00068670001	2.901556347	0.000114046
GSBRNA2T00083999001	2.901528665	4.94E-06
GSBRNA2T00060268001	2.901272223	2.29E-05
GSBRNA2T00157944001	2.90101131	0.021530879
GSBRNA2T00060688001	2.900456295	0.000684387
GSBRNA2T00076181001	2.900440374	0.020285929
GSBRNA2T00038568001	2.900293035	0.000377361
GSBRNA2T00021785001	2.90012771	0.011392733
GSBRNA2T00108652001	2.89801141	0.040303332
GSBRNA2T00156045001	2.897698589	0.000134616
GSBRNA2T00143391001	2.897120098	0.002008303
GSBRNA2T00005307001	2.895164555	0.000674343
GSBRNA2T00026575001	2.894376435	3.35E-06
GSBRNA2T00153938001	2.89410035	1.72E-06
GSBRNA2T00096701001	2.89207932	0.002310428
GSBRNA2T00121483001	2.892013374	0.002774489
GSBRNA2T00052485001	2.891169857	2.38E-09
GSBRNA2T00004569001	2.891169004	0.021237099
GSBRNA2T00000694001	2.890107749	0.002530113
GSBRNA2T00014701001	2.8867966	4.23E-05
GSBRNA2T00021427001	2.885539366	0.012513344
GSBRNA2T00024762001	2.882859225	4.62E-09
GSBRNA2T00072770001	2.880589256	0.005279367
GSBRNA2T00071983001	2.87969636	0.001687968
GSBRNA2T00102881001	2.877020191	4.48E-05
GSBRNA2T00044136001	2.876510523	2.50E-08
GSBRNA2T00031741001	2.875431216	2.84E-06
GSBRNA2T00116650001	2.874967877	0.000299566
GSBRNA2T00047027001	2.874884298	0.000403082
GSBRNA2T00133697001	2.873377027	0.008858504
GSBRNA2T00089162001	2.870010083	0.001600145
GSBRNA2T00037142001	2.86898649	0.011270268
GSBRNA2T00046738001	2.86886392	0.00022335
GSBRNA2T00032689001	2.868585407	5.81E-06
GSBRNA2T00115388001	2.865891009	0.002177836
GSBRNA2T00033377001	2.865585041	4.64E-05
GSBRNA2T00094585001	2.865200489	5.75E-09
GSBRNA2T00033806001	2.863175947	5.26E-05
GSBRNA2T00151215001	2.86240078	0.000203064
GSBRNA2T00015336001	2.861692515	1.22E-05
GSBRNA2T00153853001	2.857218668	0.001541898
GSBRNA2T00116568001	2.857205094	0.005273422
GSBRNA2T00081173001	2.857064384	1.68E-05
GSBRNA2T00047541001	2.856635535	8.85E-07
GSBRNA2T00146321001	2.854675182	0.000101731
GSBRNA2T00157466001	2.854152238	0.000164496
GSBRNA2T00013603001	2.852579299	9.59E-07
GSBRNA2T00138365001	2.851862649	4.55E-09
GSBRNA2T00157022001	2.849847561	1.48E-09
GSBRNA2T00143325001	2.848847148	0.000230991
GSBRNA2T00049676001	2.847737322	5.03E-10
GSBRNA2T00156340001	2.847287549	0.009444775
GSBRNA2T00049775001	2.846986135	0.000340404
GSBRNA2T00058003001	2.845095112	1.39E-06
GSBRNA2T00072970001	2.845081716	0.002692688
GSBRNA2T00077511001	2.844895259	0.033695782
GSBRNA2T00028300001	2.843944302	0.029366183
GSBRNA2T00134859001	2.843330149	2.19E-05
GSBRNA2T00143099001	2.840754434	6.87E-05
GSBRNA2T00035026001	2.840527408	0.052469961
GSBRNA2T00109046001	2.839580496	1.39E-05
GSBRNA2T00094173001	2.839512199	0.008738938
GSBRNA2T00033906001	2.839329463	5.21E-06
GSBRNA2T00086436001	2.838553011	0.053106454
GSBRNA2T00081769001	2.838237021	4.88E-08
GSBRNA2T00022551001	2.837038141	0.025631225
GSBRNA2T00112220001	2.83695822	0.000209142
GSBRNA2T00132327001	2.836949141	0.004496217
GSBRNA2T00026330001	2.834934876	8.40E-07
GSBRNA2T00132866001	2.834293061	0.046515136
GSBRNA2T00068342001	2.832516963	0.00269661
GSBRNA2T00129843001	2.832171252	0.051941301
GSBRNA2T00098505001	2.831380797	0.006728041
GSBRNA2T00113053001	2.830451615	0.005641738
GSBRNA2T00086806001	2.827220258	3.04E-05
GSBRNA2T00127012001	2.826936827	0.003538383
GSBRNA2T00139219001	2.826722147	2.90E-05
GSBRNA2T00102036001	2.826019982	0.014553876
GSBRNA2T00146578001	2.825915066	0.006630348
GSBRNA2T00042473001	2.82511997	0.002643916
GSBRNA2T00021808001	2.824563261	0.04821677
GSBRNA2T00114997001	2.824463119	0.040581183
GSBRNA2T00009757001	2.824391573	0.032612327
GSBRNA2T00007203001	2.82318203	0.002682235
GSBRNA2T00042281001	2.822855146	1.89E-05
GSBRNA2T00121212001	2.821428319	0.000133934
GSBRNA2T00094461001	2.821397429	4.71E-06
GSBRNA2T00131132001	2.818250908	0.01648112
GSBRNA2T00007080001	2.81783335	5.87E-06
GSBRNA2T00155984001	2.816502848	7.66E-07
GSBRNA2T00137337001	2.816182651	0.008133428
GSBRNA2T00143358001	2.814416054	1.39E-05
GSBRNA2T00077896001	2.81254886	0.002770662
GSBRNA2T00079566001	2.811385013	0.016430535
GSBRNA2T00103337001	2.811139544	0.001662333
GSBRNA2T00054228001	2.811123158	0.038609404
GSBRNA2T00079410001	2.810874168	0.000222878
GSBRNA2T00034759001	2.809226849	0.000729405
GSBRNA2T00058934001	2.80843386	0.000941713
GSBRNA2T00048940001	2.807964027	9.82E-05
GSBRNA2T00149722001	2.807204542	0.022532617
GSBRNA2T00137200001	2.807026766	0.000149007
GSBRNA2T00133020001	2.806811774	5.19E-05
GSBRNA2T00002234001	2.80640915	0.000293788
GSBRNA2T00076656001	2.80624982	3.36E-05
GSBRNA2T00109635001	2.804663012	2.41E-05
GSBRNA2T00089404001	2.804646029	4.62E-06
GSBRNA2T00060114001	2.804216067	4.53E-05
GSBRNA2T00103604001	2.802605818	0.00269661
GSBRNA2T00050942001	2.800282152	1.93E-06
GSBRNA2T00136789001	2.797562053	1.59E-08
GSBRNA2T00072246001	2.796890313	0.019442128
GSBRNA2T00057342001	2.796780959	0.00167644
GSBRNA2T00096312001	2.796346796	1.85E-08
GSBRNA2T00089695001	2.795090764	3.09E-07
GSBRNA2T00015120001	2.794133146	0.007676744
GSBRNA2T00049344001	2.793647911	4.74E-05
GSBRNA2T00018425001	2.792940145	0.04987949
GSBRNA2T00089956001	2.792415794	0.000858149
GSBRNA2T00148608001	2.791520434	0.006692026
GSBRNA2T00007720001	2.790853185	1.37E-05
GSBRNA2T00009793001	2.790489045	0.003995968
GSBRNA2T00121279001	2.790352089	2.65E-05
GSBRNA2T00005719001	2.788353655	0.002507772
GSBRNA2T00120312001	2.785859882	0.009554298
GSBRNA2T00025225001	2.782753227	0.025917964
GSBRNA2T00064018001	2.782473531	0.000107472
GSBRNA2T00090397001	2.779694988	0.001603339
GSBRNA2T00045025001	2.778634172	0.003697635
GSBRNA2T00098301001	2.776653863	1.90E-06
GSBRNA2T00123455001	2.774048987	0.024114242
GSBRNA2T00080379001	2.773565611	0.00796517
GSBRNA2T00060271001	2.771863846	0.017899542
GSBRNA2T00037741001	2.770719135	1.50E-06
GSBRNA2T00116514001	2.769878521	0.001331663
GSBRNA2T00073117001	2.769480134	4.06E-05
GSBRNA2T00065446001	2.769228343	0.03089657
GSBRNA2T00061275001	2.766241703	0.000747665
GSBRNA2T00072664001	2.76619623	0.040016277
GSBRNA2T00064153001	2.765973404	5.88E-09
GSBRNA2T00006634001	2.76485071	0.012767958
GSBRNA2T00036303001	2.764227822	0.00027351
GSBRNA2T00111752001	2.762019028	1.90E-09
GSBRNA2T00083376001	2.757838802	0.000211707
GSBRNA2T00065940001	2.757498222	4.40E-14
GSBRNA2T00086943001	2.756910048	0.003539682
GSBRNA2T00120313001	2.756320856	1.38E-07
GSBRNA2T00079623001	2.755900838	8.00E-06
GSBRNA2T00078844001	2.755613013	2.73E-06
GSBRNA2T00016280001	2.754385963	0.003919743
GSBRNA2T00072625001	2.753444655	1.55E-08
GSBRNA2T00147670001	2.752980517	1.45E-07
GSBRNA2T00102656001	2.752668807	0.001813189
GSBRNA2T00093630001	2.752027352	5.49E-05
GSBRNA2T00028739001	2.75135609	0.051272155
GSBRNA2T00107253001	2.751027056	0.001075134
GSBRNA2T00133049001	2.75051021	4.13E-05
GSBRNA2T00105217001	2.750439987	9.47E-07
GSBRNA2T00078176001	2.750150495	1.79E-05
GSBRNA2T00042500001	2.749963602	3.26E-06
GSBRNA2T00094741001	2.748102	4.64E-07
GSBRNA2T00156315001	2.747488759	8.29E-05
GSBRNA2T00086907001	2.747320641	2.07E-11
GSBRNA2T00119678001	2.747030107	9.39E-05
GSBRNA2T00107737001	2.746646242	0.001946237
GSBRNA2T00129913001	2.746508541	2.65E-08
GSBRNA2T00003100001	2.745593927	1.38E-08
GSBRNA2T00109632001	2.745511283	7.10E-06
GSBRNA2T00056878001	2.745023104	0.006462653
GSBRNA2T00008500001	2.744232892	0.00012164
GSBRNA2T00006211001	2.743777022	2.25E-05
GSBRNA2T00025847001	2.742920296	1.11E-11
GSBRNA2T00030104001	2.742707213	0.004134782
GSBRNA2T00049292001	2.741794129	2.17E-07
GSBRNA2T00091879001	2.739840186	0.02176627
GSBRNA2T00004432001	2.737944853	0.000398887
GSBRNA2T00039225001	2.73717817	0.000150739
GSBRNA2T00063861001	2.736883901	0.000564393
GSBRNA2T00138996001	2.736353452	0.001748131
GSBRNA2T00071930001	2.735950093	0.000518274
GSBRNA2T00120862001	2.735221205	0.001352352
GSBRNA2T00082608001	2.735158647	1.68E-05
GSBRNA2T00020055001	2.734636131	5.85E-05
GSBRNA2T00085314001	2.734264717	0.001320776
GSBRNA2T00027298001	2.73379013	0.000574647
GSBRNA2T00033887001	2.733598436	2.47E-05
GSBRNA2T00000794001	2.733145268	4.01E-06
GSBRNA2T00070364001	2.732564893	6.54E-06
GSBRNA2T00025393001	2.732267659	0.000501815
GSBRNA2T00052858001	2.731861463	2.83E-06
GSBRNA2T00119963001	2.730669683	0.002793868
GSBRNA2T00008089001	2.728978719	0.01305934
GSBRNA2T00021689001	2.72703186	2.17E-13
GSBRNA2T00038044001	2.726414083	1.01E-07
GSBRNA2T00008331001	2.7252994	5.95E-12
GSBRNA2T00133731001	2.724612694	2.28E-09
GSBRNA2T00066805001	2.722101428	1.40E-06
GSBRNA2T00024758001	2.721868909	2.92E-05
GSBRNA2T00071293001	2.720485698	5.86E-08
GSBRNA2T00069508001	2.718958311	0.000377903
GSBRNA2T00031147001	2.717976638	2.42E-05
GSBRNA2T00100096001	2.717392907	5.78E-05
GSBRNA2T00058525001	2.71557202	3.10E-08
GSBRNA2T00088526001	2.710930905	0.005744514
GSBRNA2T00033058001	2.710635319	0.00574445
GSBRNA2T00004095001	2.710414219	0.000835848
GSBRNA2T00156124001	2.709494703	2.40E-05
GSBRNA2T00048724001	2.709212783	0.003298294
GSBRNA2T00143096001	2.70814477	7.30E-05
GSBRNA2T00026529001	2.707775553	0.013639482
GSBRNA2T00098599001	2.707555458	0.000380392
GSBRNA2T00144813001	2.707399072	9.29E-11
GSBRNA2T00121421001	2.706137612	0.00016375
GSBRNA2T00155271001	2.705642151	0.005946642
GSBRNA2T00047227001	2.705135993	6.05E-05
GSBRNA2T00077987001	2.70423981	7.61E-05
GSBRNA2T00057709001	2.703653248	0.045687733
GSBRNA2T00119152001	2.702844907	3.19E-07
GSBRNA2T00041412001	2.702749417	6.75E-05
GSBRNA2T00085070001	2.701152107	0.000383218
GSBRNA2T00018252001	2.700283409	0.042403358
GSBRNA2T00018349001	2.700215574	0.002427455
GSBRNA2T00104993001	2.699040576	0.003773021
GSBRNA2T00140328001	2.698499892	8.68E-08
GSBRNA2T00151789001	2.695363255	0.028591653
GSBRNA2T00045877001	2.695176938	5.95E-05
GSBRNA2T00111553001	2.694869137	1.77E-06
GSBRNA2T00130795001	2.694544786	0.011764841
GSBRNA2T00093407001	2.693669359	8.11E-07
GSBRNA2T00102652001	2.691957901	0.026987955
GSBRNA2T00079542001	2.691073921	0.015520008
GSBRNA2T00001802001	2.690622107	1.28E-05
GSBRNA2T00032297001	2.689772619	0.013706881
GSBRNA2T00043151001	2.689502757	8.64E-05
GSBRNA2T00148700001	2.68910995	1.11E-06
GSBRNA2T00049102001	2.688843703	2.09E-11
GSBRNA2T00155655001	2.68815623	0.003809654
GSBRNA2T00048645001	2.687127231	0.004268135
GSBRNA2T00066261001	2.68657984	0.002850166
GSBRNA2T00117058001	2.685952995	0.005002252
GSBRNA2T00021791001	2.6855327	0.02060102
GSBRNA2T00054812001	2.685196722	0.005639936
GSBRNA2T00063082001	2.684753004	0.046013575
GSBRNA2T00076674001	2.684278864	0.001619984
GSBRNA2T00056297001	2.683980748	0.000433993
GSBRNA2T00139116001	2.682080685	1.02E-05
GSBRNA2T00156728001	2.681711382	1.43E-08
GSBRNA2T00088003001	2.68053193	0.006407874
GSBRNA2T00021149001	2.677358941	3.19E-07
GSBRNA2T00094435001	2.676338301	0.000184658
GSBRNA2T00148992001	2.674612746	1.30E-15
GSBRNA2T00157137001	2.673680622	1.51E-05
GSBRNA2T00002102001	2.672400046	0.001333057
GSBRNA2T00034695001	2.671432856	1.21E-07
GSBRNA2T00000741001	2.670789924	0.004497714
GSBRNA2T00127978001	2.670412638	7.58E-08
GSBRNA2T00079228001	2.66944159	1.70E-08
GSBRNA2T00038931001	2.668530914	0.007439764
GSBRNA2T00098702001	2.667407955	7.93E-08
GSBRNA2T00150696001	2.667337468	0.000168902
GSBRNA2T00135155001	2.666898492	0.000191829
GSBRNA2T00057507001	2.66591062	0.024143972
GSBRNA2T00101541001	2.665728723	0.037881824
GSBRNA2T00136401001	2.665726298	0.000144754
GSBRNA2T00135594001	2.665726005	2.32E-07
GSBRNA2T00111840001	2.664254324	0.030999355
GSBRNA2T00131242001	2.663453315	3.09E-05
GSBRNA2T00007179001	2.663298828	0.041784455
GSBRNA2T00144400001	2.662791217	7.39E-05
GSBRNA2T00109636001	2.662632156	5.31E-06
GSBRNA2T00129377001	2.662205495	2.35E-05
GSBRNA2T00051811001	2.662052946	2.87E-06
GSBRNA2T00019456001	2.659263601	0.039773535
GSBRNA2T00121479001	2.657454809	0.000309156
GSBRNA2T00022756001	2.657439476	0.000860465
GSBRNA2T00139804001	2.656037774	1.46E-05
GSBRNA2T00148671001	2.655798321	7.72E-05
GSBRNA2T00131730001	2.65484512	3.57E-05
GSBRNA2T00020070001	2.654030257	0.009075768
GSBRNA2T00082938001	2.653675199	9.97E-05
GSBRNA2T00119381001	2.653559388	0.00622397
GSBRNA2T00049904001	2.65295217	2.94E-09
GSBRNA2T00092150001	2.652637721	0.001873766
GSBRNA2T00060546001	2.649566891	0.032818797
GSBRNA2T00081926001	2.648658676	0.021446136
GSBRNA2T00110459001	2.646828414	0.021307252
GSBRNA2T00073644001	2.644833738	1.94E-07
GSBRNA2T00031445001	2.64431099	0.000529322
GSBRNA2T00004533001	2.644014217	2.25E-08
GSBRNA2T00054494001	2.64365105	0.038423157
GSBRNA2T00087544001	2.642671026	1.61E-05
GSBRNA2T00027975001	2.64160992	9.09E-06
GSBRNA2T00095380001	2.640902897	2.07E-05
GSBRNA2T00008669001	2.640806962	5.76E-10
GSBRNA2T00049947001	2.640166762	0.000360555
GSBRNA2T00131525001	2.639830029	0.000763991
GSBRNA2T00046401001	2.639825697	0.001406693
GSBRNA2T00070839001	2.639355212	0.01819701
GSBRNA2T00009974001	2.638180866	4.97E-05
GSBRNA2T00103627001	2.63618474	0.000187163
GSBRNA2T00018376001	2.635253272	0.004007399
GSBRNA2T00024772001	2.634270449	0.002207804
GSBRNA2T00045675001	2.633719452	4.34E-08
GSBRNA2T00049709001	2.63322285	0.020397775
GSBRNA2T00128868001	2.632773992	0.00444432
GSBRNA2T00008723001	2.632672635	0.003082473
GSBRNA2T00018043001	2.631032229	8.76E-05
GSBRNA2T00011627001	2.630847851	0.002728425
GSBRNA2T00060165001	2.630570368	3.29E-06
GSBRNA2T00045471001	2.630277715	0.008322353
GSBRNA2T00132220001	2.630010818	0.000112825
GSBRNA2T00115922001	2.628511527	0.000974187
GSBRNA2T00092086001	2.628022338	0.004478026
GSBRNA2T00155123001	2.626778114	3.16E-05
GSBRNA2T00085330001	2.626384563	6.85E-07
GSBRNA2T00124886001	2.626326832	0.00014516
GSBRNA2T00123129001	2.625117311	0.045397531
GSBRNA2T00155466001	2.622316433	1.84E-06
GSBRNA2T00100634001	2.622095086	1.66E-05
GSBRNA2T00076324001	2.622068323	0.00017704
GSBRNA2T00062794001	2.621913573	0.003443547
GSBRNA2T00046848001	2.620819658	2.14E-06
GSBRNA2T00101170001	2.619365386	2.24E-06
GSBRNA2T00129532001	2.619274768	5.33E-06
GSBRNA2T00145751001	2.616182181	0.000223319
GSBRNA2T00154652001	2.615722653	6.41E-07
GSBRNA2T00152052001	2.615578038	0.025732614
GSBRNA2T00152638001	2.613249342	1.10E-08
GSBRNA2T00068022001	2.613194139	4.60E-08
GSBRNA2T00023831001	2.612850555	3.33E-07
GSBRNA2T00051056001	2.612812733	0.007475887
GSBRNA2T00099975001	2.610775503	9.53E-08
GSBRNA2T00042142001	2.607967819	0.000883194
GSBRNA2T00136322001	2.607933463	1.71E-05
GSBRNA2T00076423001	2.60754195	9.56E-05
GSBRNA2T00013591001	2.60749216	0.01137264
GSBRNA2T00088584001	2.606974624	5.93E-05
GSBRNA2T00091180001	2.603941177	1.00E-10
GSBRNA2T00025111001	2.603248131	3.63E-06
GSBRNA2T00050429001	2.60178746	0.043742847
GSBRNA2T00059432001	2.600796951	0.012170483
GSBRNA2T00052319001	2.600379943	0.014533958
GSBRNA2T00009932001	2.600253526	0.000238314
GSBRNA2T00038045001	2.599533214	3.35E-07
GSBRNA2T00060245001	2.59945096	0.025613637
GSBRNA2T00058229001	2.597579581	0.014940823
GSBRNA2T00074464001	2.597308467	0.020393114
GSBRNA2T00086974001	2.596898649	0.016861736
GSBRNA2T00038171001	2.596831492	0.008604511
GSBRNA2T00122665001	2.596725248	0.017703642
GSBRNA2T00046227001	2.59629651	0.021942666
GSBRNA2T00127099001	2.596223697	0.002335952
GSBRNA2T00065974001	2.595748119	0.011564358
GSBRNA2T00082337001	2.595215213	0.000592459
GSBRNA2T00066996001	2.59383679	1.86E-09
GSBRNA2T00150491001	2.592623476	0.042601543
GSBRNA2T00079269001	2.589444141	4.45E-08
GSBRNA2T00123349001	2.589413273	6.07E-08
GSBRNA2T00001177001	2.589191904	0.00045702
GSBRNA2T00117496001	2.588742858	0.005984009
GSBRNA2T00033188001	2.587056976	5.12E-05
GSBRNA2T00076225001	2.586825401	0.031348881
GSBRNA2T00041907001	2.585392855	0.000849791
GSBRNA2T00060745001	2.585301461	0.000288527
GSBRNA2T00059998001	2.58527892	0.000784376
GSBRNA2T00156974001	2.584302067	1.59E-10
GSBRNA2T00116411001	2.582958085	0.000342525
GSBRNA2T00127306001	2.580456154	1.89E-05
GSBRNA2T00066345001	2.580060745	0.002164356
GSBRNA2T00114126001	2.579999313	0.004157802
GSBRNA2T00037502001	2.579484319	0.000478592
GSBRNA2T00037110001	2.579250191	4.01E-07
GSBRNA2T00000314001	2.577999806	0.001644484
GSBRNA2T00004548001	2.577225229	0.023623281
GSBRNA2T00151601001	2.577066259	0.012596046
GSBRNA2T00155865001	2.576969471	0.01203236
GSBRNA2T00117048001	2.574638507	0.001479529
GSBRNA2T00149465001	2.573754855	0.025050071
GSBRNA2T00143151001	2.573637878	0.011856768
GSBRNA2T00123607001	2.573436827	0.040902934
GSBRNA2T00106209001	2.573284451	0.013977546
GSBRNA2T00092010001	2.572857781	3.51E-06
GSBRNA2T00066247001	2.570284503	0.009902661
GSBRNA2T00149634001	2.569177515	2.48E-09
GSBRNA2T00027608001	2.566773048	2.87E-06
GSBRNA2T00085404001	2.56554568	0.011734053
GSBRNA2T00056718001	2.564137634	0.000354868
GSBRNA2T00138715001	2.563466936	1.05E-05
GSBRNA2T00049722001	2.563036557	1.18E-06
GSBRNA2T00042542001	2.562549558	0.000165598
GSBRNA2T00153673001	2.561994926	0.010294521
GSBRNA2T00126304001	2.561874382	0.000251717
GSBRNA2T00018348001	2.561042837	2.68E-06
GSBRNA2T00093928001	2.560235469	0.000229133
GSBRNA2T00120472001	2.559925135	0.000786301
GSBRNA2T00039002001	2.556985614	0.000143632
GSBRNA2T00019945001	2.556692535	1.62E-06
GSBRNA2T00007262001	2.55640798	0.005579395
GSBRNA2T00092446001	2.556203365	0.000204278
GSBRNA2T00097644001	2.55554485	4.66E-05
GSBRNA2T00081562001	2.554220078	0.05259812
GSBRNA2T00111753001	2.553951138	0.006295515
GSBRNA2T00113252001	2.5539402	0.017701601
GSBRNA2T00104770001	2.553037294	3.19E-05
GSBRNA2T00142980001	2.552234081	3.53E-07
GSBRNA2T00053002001	2.550125889	3.21E-05
GSBRNA2T00100112001	2.550084281	0.00558737
GSBRNA2T00072598001	2.549658977	0.047609813
GSBRNA2T00079565001	2.549348989	0.000588502
GSBRNA2T00067929001	2.549030405	0.005785606
GSBRNA2T00012634001	2.548046134	5.71E-06
GSBRNA2T00126709001	2.548017331	0.020118152
GSBRNA2T00099211001	2.547567703	0.020485088
GSBRNA2T00129668001	2.546987212	0.000551692
GSBRNA2T00014226001	2.545060545	3.22E-06
GSBRNA2T00016139001	2.544281995	1.60E-09
GSBRNA2T00056716001	2.542675721	0.002693704
GSBRNA2T00003960001	2.542461659	0.001654095
GSBRNA2T00041448001	2.540477074	0.000106204
GSBRNA2T00026719001	2.538528048	3.61E-05
GSBRNA2T00077677001	2.534476688	0.000205759
GSBRNA2T00037052001	2.533087499	1.90E-06
GSBRNA2T00018253001	2.533020317	0.002145784
GSBRNA2T00039964001	2.53239062	2.50E-05
GSBRNA2T00047811001	2.532144758	0.010206494
GSBRNA2T00057616001	2.531982041	0.010963634
GSBRNA2T00066558001	2.531669344	3.58E-05
GSBRNA2T00049612001	2.531282903	0.000225858
GSBRNA2T00015276001	2.530483016	0.024684494
GSBRNA2T00020589001	2.530160515	0.000103415
GSBRNA2T00146092001	2.530139517	9.08E-06
GSBRNA2T00028790001	2.529884849	0.027586611
GSBRNA2T00004471001	2.52953055	0.027674936
GSBRNA2T00065826001	2.528953209	0.001587077
GSBRNA2T00154150001	2.528527212	0.009993586
GSBRNA2T00055818001	2.527991998	0.01542741
GSBRNA2T00005399001	2.52591912	0.023034836
GSBRNA2T00016454001	2.524867867	1.87E-12
GSBRNA2T00006337001	2.524444274	7.77E-05
GSBRNA2T00044603001	2.523660206	5.43E-06
GSBRNA2T00111589001	2.523138039	0.000929461
GSBRNA2T00112031001	2.52268746	0.000167153
GSBRNA2T00092930001	2.522523815	0.005098023
GSBRNA2T00042241001	2.522464103	0.008887861
GSBRNA2T00140329001	2.52203982	0.001487923
GSBRNA2T00149909001	2.521701821	1.48E-09
GSBRNA2T00069130001	2.520402572	0.009730067
GSBRNA2T00100270001	2.520201162	0.000564393
GSBRNA2T00095381001	2.519254956	1.56E-06
GSBRNA2T00079836001	2.5184633	3.51E-06
GSBRNA2T00094763001	2.518157999	1.51E-07
GSBRNA2T00039961001	2.516054724	1.13E-10
GSBRNA2T00126619001	2.515855593	0.000165517
GSBRNA2T00126659001	2.515195437	0.00010122
GSBRNA2T00009169001	2.514127987	1.05E-05
GSBRNA2T00028728001	2.513711659	4.24E-05
GSBRNA2T00060292001	2.513287985	0.000756821
GSBRNA2T00053278001	2.511094803	0.014712347
GSBRNA2T00090970001	2.510333576	0.000399643
GSBRNA2T00016466001	2.509429736	0.013749195
GSBRNA2T00129391001	2.508519727	0.001711319
GSBRNA2T00017095001	2.507901311	0.000904631
GSBRNA2T00049465001	2.507484851	0.038001686
GSBRNA2T00153156001	2.506674749	0.000271248
GSBRNA2T00094489001	2.505917633	0.00526198
GSBRNA2T00003355001	2.503352452	4.95E-06
GSBRNA2T00103107001	2.503096231	5.71E-06
GSBRNA2T00055141001	2.502746382	0.000222638
GSBRNA2T00030993001	2.502196759	0.0001021
GSBRNA2T00140622001	2.502050948	0.002001445
GSBRNA2T00072672001	2.501364182	7.96E-08
GSBRNA2T00103142001	2.500545244	0.000325704
GSBRNA2T00028678001	2.500534525	0.004219899
GSBRNA2T00148972001	2.500372962	0.038945136
GSBRNA2T00107744001	2.500356373	0.000181496
GSBRNA2T00107082001	2.499995301	0.000643316
GSBRNA2T00047148001	2.499770624	0.000241474
GSBRNA2T00035022001	2.498206876	0.003000428
GSBRNA2T00146274001	2.495220022	0.000259689
GSBRNA2T00114627001	2.494317111	5.42E-09
GSBRNA2T00001362001	2.493192954	0.012844419
GSBRNA2T00047128001	2.492537097	0.000185889
GSBRNA2T00041456001	2.49242972	0.000169741
GSBRNA2T00093269001	2.492332828	3.33E-07
GSBRNA2T00068565001	2.491951123	0.000260267
GSBRNA2T00028718001	2.491935875	0.000361147
GSBRNA2T00018756001	2.4909215	0.000180647
GSBRNA2T00032067001	2.490221178	4.49E-06
GSBRNA2T00038042001	2.4901646	8.86E-05
GSBRNA2T00090835001	2.490024794	0.029508407
GSBRNA2T00074672001	2.489867089	1.12E-05
GSBRNA2T00083494001	2.489191403	0.030859486
GSBRNA2T00035986001	2.489049824	5.86E-06
GSBRNA2T00156114001	2.488381191	0.051492498
GSBRNA2T00067736001	2.488317807	0.001040427
GSBRNA2T00085759001	2.487129671	0.000121126
GSBRNA2T00125615001	2.48701796	0.002862689
GSBRNA2T00158418001	2.486958917	2.11E-05
GSBRNA2T00016566001	2.486377913	0.000420869
GSBRNA2T00093335001	2.485106052	0.003613186
GSBRNA2T00060870001	2.484727917	0.017473116
GSBRNA2T00006050001	2.484238155	0.00067449
GSBRNA2T00102632001	2.483887863	1.83E-07
GSBRNA2T00107031001	2.483100026	0.038060969
GSBRNA2T00072087001	2.48287303	1.63E-05
GSBRNA2T00112318001	2.482307624	0.013766625
GSBRNA2T00054278001	2.482195584	1.11E-07
GSBRNA2T00112032001	2.481674236	1.21E-06
GSBRNA2T00150752001	2.481576884	0.024114242
GSBRNA2T00058563001	2.481539979	0.001135075
GSBRNA2T00033694001	2.481466901	0.001028535
GSBRNA2T00031641001	2.481249909	2.02E-07
GSBRNA2T00011836001	2.47703824	3.88E-06
GSBRNA2T00144457001	2.476498667	1.68E-07
GSBRNA2T00047876001	2.475328416	0.030391781
GSBRNA2T00032767001	2.475001834	0.000146712
GSBRNA2T00126800001	2.472776636	2.68E-05
GSBRNA2T00032666001	2.472451527	4.95E-11
GSBRNA2T00026027001	2.471138065	0.036821976
GSBRNA2T00106928001	2.470737527	0.014097361
GSBRNA2T00059985001	2.469903713	0.001258505
GSBRNA2T00031928001	2.469505851	0.052950645
GSBRNA2T00004478001	2.468609861	0.001128163
GSBRNA2T00126648001	2.466970867	0.001806557
GSBRNA2T00005596001	2.466579485	0.017901939
GSBRNA2T00060283001	2.466111899	0.000494264
GSBRNA2T00130194001	2.466074403	7.68E-06
GSBRNA2T00006475001	2.465593974	0.011574445
GSBRNA2T00125172001	2.465451786	0.002842875
GSBRNA2T00116869001	2.464416263	1.02E-08
GSBRNA2T00154068001	2.463345509	0.04924332
GSBRNA2T00069524001	2.462964108	0.010386087
GSBRNA2T00112691001	2.462955542	1.37E-07
GSBRNA2T00132925001	2.462374638	0.009379661
GSBRNA2T00024563001	2.462352258	0.00399994
GSBRNA2T00134786001	2.458837312	0.000328785
GSBRNA2T00081059001	2.458826899	0.004739416
GSBRNA2T00063042001	2.458257962	0.000712546
GSBRNA2T00156277001	2.45771551	0.002377813
GSBRNA2T00092260001	2.457478901	9.56E-06
