Gene ID	Root 1 hr log2FoldChange	padj
GSBRNA2T00057482001	6.630736843	0.000220494
GSBRNA2T00044579001	6.629853629	0.000256732
GSBRNA2T00054498001	6.620104681	0.000236669
GSBRNA2T00058975001	6.611913384	3.90E-05
GSBRNA2T00031931001	6.603415606	2.82E-11
GSBRNA2T00075884001	6.600136702	4.67E-05
GSBRNA2T00121565001	6.599667528	7.00E-23
GSBRNA2T00002171001	6.598024103	9.04E-09
GSBRNA2T00138904001	6.595557585	2.99E-06
GSBRNA2T00105374001	6.594977345	2.79E-11
GSBRNA2T00111360001	6.573559507	1.86E-08
GSBRNA2T00025070001	6.57253568	4.19E-16
GSBRNA2T00115996001	6.551609383	1.29E-16
GSBRNA2T00070426001	6.548294284	1.21E-10
GSBRNA2T00107101001	6.541067902	2.91E-05
GSBRNA2T00094910001	6.540204425	8.72E-06
GSBRNA2T00053921001	6.53959276	1.56E-12
GSBRNA2T00007201001	6.526957429	8.83E-07
GSBRNA2T00068216001	6.512571304	5.74E-09
GSBRNA2T00029305001	6.505228878	6.54E-10
GSBRNA2T00050433001	6.490318831	7.71E-07
GSBRNA2T00106924001	6.488068101	0.000401262
GSBRNA2T00156224001	6.474328185	5.20E-21
GSBRNA2T00073141001	6.458317909	2.85E-09
GSBRNA2T00149411001	6.455238772	0.000895339
GSBRNA2T00151982001	6.451394264	8.95E-22
GSBRNA2T00045711001	6.431572475	1.28E-06
GSBRNA2T00132980001	6.430184443	4.85E-05
GSBRNA2T00064897001	6.422911839	1.36E-13
GSBRNA2T00152654001	6.422218692	1.28E-06
GSBRNA2T00125345001	6.409992377	7.17E-06
GSBRNA2T00120095001	6.407055055	6.88E-12
GSBRNA2T00078034001	6.402144285	2.16E-09
GSBRNA2T00046825001	6.400361159	0.000572806
GSBRNA2T00027069001	6.394206197	2.81E-07
GSBRNA2T00068067001	6.393232012	0.000121022
GSBRNA2T00016992001	6.382298153	0.000360982
GSBRNA2T00021369001	6.379959526	0.000839677
GSBRNA2T00151112001	6.375025619	7.41E-05
GSBRNA2T00136751001	6.371881587	3.23E-22
GSBRNA2T00117762001	6.358912652	9.37E-10
GSBRNA2T00104339001	6.358496591	1.07E-05
GSBRNA2T00112441001	6.353615461	1.00E-10
GSBRNA2T00012438001	6.337976873	1.02E-12
GSBRNA2T00060413001	6.330293445	0.000933708
GSBRNA2T00107787001	6.328698664	0.001027624
GSBRNA2T00073142001	6.328462194	0.000335112
GSBRNA2T00139259001	6.319302991	2.41E-09
GSBRNA2T00035401001	6.301533817	3.86E-14
GSBRNA2T00119545001	6.300934312	9.41E-06
GSBRNA2T00047442001	6.287519686	0.001050929
GSBRNA2T00057056001	6.278153903	0.00117212
GSBRNA2T00083918001	6.276447141	8.11E-07
GSBRNA2T00049221001	6.266545918	8.11E-07
