Gene ID	log2FoldChange	padj
GSBRNA2T00075176001	9.293236858	7.64E-14
GSBRNA2T00078853001	8.879584018	8.18E-08
GSBRNA2T00130783001	8.819380581	1.43E-13
GSBRNA2T00138904001	8.75894864	5.86E-10
GSBRNA2T00027617001	8.616890689	6.47E-31
GSBRNA2T00097767001	8.309269387	1.67E-09
GSBRNA2T00029904001	8.293012308	4.54E-13
GSBRNA2T00130750001	8.191753039	1.56E-17
GSBRNA2T00101522001	8.026945468	1.30E-11
GSBRNA2T00111360001	7.886408243	2.66E-08
GSBRNA2T00090460001	7.72012876	2.37E-06
GSBRNA2T00099309001	7.674247026	6.41E-07
GSBRNA2T00099602001	7.665740359	6.71E-07
GSBRNA2T00138959001	7.625033931	9.12E-11
GSBRNA2T00136749001	7.504835255	1.37E-38
GSBRNA2T00121258001	7.366100352	3.41E-09
GSBRNA2T00052140001	7.283051456	1.72E-05
GSBRNA2T00036533001	7.233945694	1.74E-06
GSBRNA2T00002404001	7.227550576	1.56E-17
GSBRNA2T00005375001	7.200495175	1.22E-09
GSBRNA2T00141261001	7.124873625	1.23E-06
GSBRNA2T00049770001	7.085951357	4.86E-17
GSBRNA2T00068232001	7.063457035	8.06E-10
GSBRNA2T00055037001	7.056547025	7.28E-13
GSBRNA2T00072332001	7.009634603	0.000175121
GSBRNA2T00139058001	6.955335385	4.94E-05
GSBRNA2T00142450001	6.943695074	1.66E-08
GSBRNA2T00151783001	6.937457604	2.40E-06
GSBRNA2T00018596001	6.881640903	9.29E-27
GSBRNA2T00082067001	6.880812135	8.48E-09
GSBRNA2T00106034001	6.770055864	1.59E-07
GSBRNA2T00042064001	6.769924905	9.43E-06
GSBRNA2T00009926001	6.715153437	2.29E-06
GSBRNA2T00035570001	6.683591547	3.39E-06
GSBRNA2T00047641001	6.678703757	4.09E-09
GSBRNA2T00064897001	6.659645822	2.45E-08
GSBRNA2T00122925001	6.654293423	8.45E-06
GSBRNA2T00151767001	6.652358157	4.86E-08
GSBRNA2T00064141001	6.650430939	5.58E-11
GSBRNA2T00017975001	6.627782224	4.00E-23
GSBRNA2T00091168001	6.610679668	2.13E-07
GSBRNA2T00111931001	6.608803088	1.79E-26
GSBRNA2T00141732001	6.556170385	6.67E-25
GSBRNA2T00036368001	6.527749759	5.69E-14
GSBRNA2T00114129001	6.52470253	7.44E-23
GSBRNA2T00036681001	6.514737223	5.65E-11
GSBRNA2T00054421001	6.507946465	5.32E-11
GSBRNA2T00029905001	6.497921695	3.61E-12
