	baseMean	log2FoldChange	stat	pvalue	padj
AT4G40045	52.3221814738579	-0.570825472865677	-1.68301263883409	0.0923726447542205	0.327958835127188
AT4G40050	384.800872360466	0.173411973813333	1.0182426427326	0.308562658863258	0.613891642580688
AT4G40060	987.542885808918	-0.225734679739506	-0.679241954523487	0.496984568234392	0.769057358742113
AT4G40080	179.651358809185	0.605208071420539	1.79250878134552	0.0730515038096351	0.28778992565926
AT4G40090	42.0014227784354	-0.290267388606474	-0.879317858817269	0.379228955400113	0.680127252572925
AT4G38060	791.833510514279	1.6297649022664	3.61028448754667	0.000305861348103377	0.00656402803873
AT4G38050	26.5956436434879	0.567320832804052	1.2011409269826	0.229696539511254	0.533348495989345
AT4G38040	236.435942373804	0.420210952342633	2.47294963966699	0.0134003024725037	0.102086451600808
AT4G38030	52.6608718040116	2.40276776121039	2.40775966495451	0.016050743416546	0.114728315035665
AT4G38020	38.7763519860635	-0.233950383123088	-0.620393954372085	0.53499845169637	0.793945232583887
AT4G38000	2.18517586470963	0.872430198621115	0.757289977523194	0.448876154098669	0.733391859477584
AT4G37980	675.424883354126	0.375996170385628	1.45788495608344	0.144872255944919	0.420666281298523
AT4G37970	38.0587054638249	-0.06714997156294	-0.198031038402827	0.843020779460536	0.946560985270102
AT4G37940	68.3019648774927	0.796318990034104	0.853834125236703	0.393196903493489	0.692267799114564
AT4G37930	5893.13956699986	0.111387858169762	0.325407795400317	0.744872456419667	0.903668323928785
AT4G37920	143.226549154468	-0.0399958409370438	-0.19124330460613	0.848334977509618	0.949228149992052
AT4G37910	2372.42056459207	0.0466737784162311	0.118548911175236	0.905632742780442	0.969042114397077
AT4G37880	355.666394005577	0.406697975008801	2.00729280013202	0.0447184953371109	0.21467532394564
AT4G37870	4911.7207018339	0.54038647997145	1.7010013974337	0.0889427247787278	0.321491267074024
AT4G37860	0.722118459557332	0.145869614221495	0.42780720366538	0.668791491859312	NA
AT4G37850	13.688704640527	-0.0471858847096683	-0.395618071951701	0.692386803110005	0.879455418606835
AT4G37840	2.31414248885045	-0.332701220360745	-0.52574330636187	0.599066570090254	0.831810922381621
AT4G37770	55.6091589245871	0.53675748260566	1.28884092920969	0.197453393606948	0.498166266351238
AT4G37760	264.776059797198	0.209166914459769	0.416374932715726	0.677135668425079	0.872475518829947
AT4G37750	330.836844591843	-0.841939270086682	-1.72744055642555	0.0840885722292564	0.311735734221859
AT4G37740	95.2234317408263	-1.08279306064225	-3.19458891503282	0.00140030142914461	0.0209175169822937
AT4G37730	134.987660513027	-0.179882827722182	-0.46381976742684	0.642776879621219	0.856072393744768
AT4G37680	221.972155987789	-0.0149857678684087	-0.0478898495653915	0.961804028983602	0.988206133364468
AT4G37670	171.077267662006	-0.111908917328988	-0.440864731258652	0.659310927826382	0.86331057017437
AT4G37610	1071.56029294863	0.386674999740451	0.572298423848349	0.56711981736054	0.812304055282293
AT4G37580	154.658790420531	-0.258848954348158	-0.352217679643383	0.724675019002373	0.8958698673069
AT4G37560	138.802578485111	-0.304044274101015	-1.29468988588045	0.195427230387749	0.495842249832922
AT4G37550	378.598760504875	0.246922847190939	1.01257772089651	0.311261905921797	0.616281164380478
AT4G37540	482.681873258956	0.154843984173222	0.528054813978281	0.597461291791876	0.83081396297243
AT4G37520	894.524338094954	1.49699674491846	3.0416527728835	0.00235283134462023	0.0299208166205422
AT4G37510	361.410519711183	0.0292287198748187	0.157870570087656	0.874558788880451	0.957847538350905
AT4G37490	90.0734121408907	-0.229331803702059	-0.74664038019877	0.45528066685637	0.738906982671198
AT4G37460	411.622956592383	-0.0763306934960771	-0.562383567558639	0.573854712462529	0.816103052711499
AT4G37450	526.855484248629	0.242144494493865	0.694557916578137	0.487332393216977	0.762276297496329
AT4G37445	95.9628263594875	-0.0987949104652271	-0.42378047606508	0.671725918064715	0.869582755460187
AT4G37440	232.436644789072	0.191800902783773	1.08433933336713	0.278214371568451	0.583348483744762
AT4G37430	774.977501161583	4.17536698282833	7.39021939519658	1.4658673967722e-13	7.45121338742122e-11
AT4G37420	0.292723127219536	0.185272030894595	0.369448903060723	0.711793152721978	NA
AT4G37400	30.6622958001641	-1.31336475147905	-2.4187962973518	0.0155719577392256	0.112389736364528
AT4G37390	747.307942292802	-0.587611682240545	-1.07674626890948	0.281593635576361	0.586631425121668
AT4G37360	154.858593888618	0.687494194941368	2.64719003510472	0.00811637284295967	0.0726715597630073
AT4G37310	307.055965954597	1.66777140330322	3.9779879156156	6.95009030617393e-05	0.00205397104048406
AT4G37300	793.460564349993	-0.128380055907454	-0.453505306333295	0.650184923243944	0.859125761309612
AT4G37330	234.257067161215	1.00013680233172	3.2235030109188	0.00126632967240479	0.0193426402103279
AT4G37295	21.5777025290725	-0.237560466617805	-0.325266582611736	0.7449793201415	0.903668323928785
AT4G37280	234.217964573991	-0.635891564788776	-3.6023259142159	0.000315382604008082	0.00670367014086952
AT4G37270	621.268668110636	0.330427393419237	2.71008974227114	0.00672650055405221	0.0639269077762515
AT4G37260	529.079803608259	0.51570161231766	1.85177150037539	0.0640586417505735	0.266651215578955
AT4G37250	70.9027424597302	0.0439953665510043	0.081096413021706	0.93536527828793	0.978541906740007
AT4G36880	70.3040619739781	0.154520979107611	0.108174318641341	0.913857416150025	0.971929536748272
AT4G36900	201.920997753079	0.648515952668537	2.22378523671073	0.0261628971554924	0.15614361063179
AT4G36930	18.138914963164	-0.0418682830293131	-0.0936532845239096	0.925384580650495	0.975221422402408
AT4G36960	396.207864356184	-0.163011588324	-1.20146285276434	0.229571707794854	0.533348495989345
AT4G36970	229.94246029406	0.134156614589859	0.52888669971658	0.596884048946539	0.830335766268502
AT4G36980	740.493745400094	0.0133380477632078	0.0787289694840188	0.937248202674576	0.979475021956261
AT4G37000	82.6518185202716	0.296564615892039	1.33987182849533	0.180287018359431	0.474059465508813
AT4G37010	447.252921148707	1.66561159178124	4.77619206787898	1.78645772150411e-06	0.000110475022887299
AT4G37040	142.372505104855	0.253118967493509	1.04507936845611	0.295986288640924	0.601731112054151
AT4G37050	15.5337639404161	0.609091928886522	-0.177945437380272	0.858765826378096	0.952786751285085
AT4G37070	245.097984305907	0.646627636617599	0.316768483573152	0.751419280058754	0.906242513762156
AT4G37080	382.226073184843	0.0563765311293329	0.175467015373192	0.860712686584598	0.953067741770497
AT4G37090	200.260650915784	-0.0738325196677751	-0.364199039416619	0.715709384241222	0.892278325564624
AT4G37100	36.3378951389599	-0.245137836904884	-0.620540835048945	0.534901778199609	0.793945232583887
AT4G37110	90.3208656513123	-0.388958190063412	-1.59551048384586	0.110598127483158	0.362099979030706
AT4G37130	107.836136690923	-0.0783880921397596	-0.25969860633089	0.795096267753746	0.924660474175028
AT4G37150	292.941867822458	3.47330251792058	7.85019798982923	4.15380989726961e-15	3.35911054010562e-12
AT4G37160	137.280565587835	1.4883938759883	0.629649407968817	0.528923989990248	0.79029383683561
AT4G37180	491.030972899288	0.247216905429698	0.698096823081401	0.4851166447437	0.761117745042414
AT4G37200	371.528957703722	-0.261858992373263	-1.13106419514292	0.258028072997133	0.562639716471625
AT4G37210	442.758962947339	-0.0435229530437434	-0.320323316232747	0.748723249792399	0.905102025432412
AT4G37240	38.6763319835839	-0.0406561779142112	-0.0788775619892192	0.937130010563091	0.979466573723884
AT4G35910	172.103695835206	-0.155317435860559	-0.707959330707125	0.478970513495561	0.756064764735778
AT4G36870	393.92153345472	0.146783797600627	0.379856675286814	0.704051809095186	0.885527446844288
AT4G36860	506.03721623256	0.120725846787349	0.498283785496261	0.618284034732059	0.84219364994396
AT4G36850	726.939246973696	2.05343219851704	2.43071117652524	0.015069221621269	0.110010882997126
AT2G23790	744.900026051823	0.238183200288052	0.792245831870166	0.42821734946181	0.716536313010996
AT4G36810	524.351750878364	0.277153725266315	1.39756333001676	0.162244236582774	0.446627163732828
AT4G36790	66.4013447095716	0.615112845360804	2.19825257550526	0.027931111921429	0.161653354650014
AT4G36780	869.796059059055	0.547550183506751	1.59368959071295	0.111005576826082	0.362699764428433
