	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT4G40045	52.3221814738579	-0.43983099446595	0.406989157594439	-1.08435551230161	0.278207200791314	0.402890796677555
AT4G40050	384.800872360466	0.0486059596049066	0.175776399108007	0.277129529889467	0.781680647904453	0.862290737926376
AT4G40060	987.542885808918	-0.30227415885538	0.345413207575843	-0.875031314594424	0.381556867354582	0.512822487475947
AT4G40080	179.651358809185	1.62487853997411	0.33554795896898	4.84174135185573	1.28706224585014e-06	1.06136832355738e-05
AT4G40090	42.0014227784354	2.29508861917578	0.930274418071803	2.40381846556278	0.0162248280539711	0.0407224292532516
AT4G38060	791.833510514279	1.60604453845848	0.448493479235629	3.57857622185098	0.000345471118303608	0.00150974624967287
AT4G38050	26.5956436434879	-0.0439522536842841	0.438989637519308	-0.091693694882281	0.926941407043522	0.967002802688397
AT4G38040	236.435942373804	-0.137627114434038	0.185418588094787	-0.742019728789725	0.458075382400726	0.587749269029946
AT4G38030	52.6608718040116	7.64734401114737	1.01084807981331	6.27735275035374	3.44386155045583e-10	5.88951157032751e-09
AT4G38020	38.7763519860635	-1.53423706094415	0.591402812818495	-2.59057974422735	0.00958144198480116	0.0261399222243185
AT4G38000	2.18517586470963	0	1.38266843160915	0	1	1
AT4G37980	675.424883354126	0.350641302099012	0.337351997229689	1.02050197160415	0.307490454678832	0.434007769821546
AT4G37970	38.0587054638249	-0.405965637271753	0.51119310093259	-0.783268636664387	0.433469376679629	0.564158125750229
AT4G37940	68.3019648774927	0.590081707546388	0.343170744750978	1.72680501449944	0.0842026876255464	0.15741724719669
AT4G37930	5893.13956699986	-0.889521736525579	0.362738967098642	-2.45841266800985	0.0139552713576872	0.0358016634969285
AT4G37920	143.226549154468	-0.564021861428872	0.26489677035475	-2.13576478758296	0.0326985906122488	0.0728934736048148
AT4G37910	2372.42056459207	1.05076815411359	0.403214424312645	2.60535234190992	0.00917798237609615	0.0252510295767395
AT4G37880	355.666394005577	1.0134542427907	0.215029267779254	4.71275853237589	2.44385725617942e-06	1.88140472653879e-05
AT4G37870	4911.7207018339	1.35879765000533	0.246290535956947	5.51707446049456	3.44689417401542e-08	4.0441942675442e-07
AT4G37860	0.722118459557332	-0.414413374093715	0.951889770011704	-0.209619642106361	0.833964548041393	0.900147586118855
AT4G37850	13.688704640527	3.18539935625229	0.821638287173285	3.79406084071995	0.000148203334248703	0.000714536647672939
AT4G37840	2.31414248885045	0.811308794855096	1.06480886565792	0.77383213782028	0.439030064778966	0.569700359853876
AT4G37770	55.6091589245871	3.4830266471216	0.489667007377163	7.03476477514977	1.99597437048493e-12	4.96662723222144e-11
AT4G37760	264.776059797198	0.152495155571604	0.684137223267404	0.159505099184104	0.873270941183646	0.929050026264702
AT4G37750	330.836844591843	-1.07298754423815	0.500999475038328	-2.14070050867191	0.0322981974768581	0.0721813122153099
AT4G37740	95.2234317408263	-1.24824323345032	0.365207919452569	-3.41175968617706	0.000645449886158103	0.00259833875995633
AT4G37730	134.987660513027	1.11615693107182	0.371704170928052	3.00270926794626	0.00267587928997297	0.00883287932292003
AT4G37680	221.972155987789	0.206593344941523	0.328515636597644	0.629315493069897	0.529142530355104	0.654595627048468
AT4G37670	171.077267662006	0.873431544536023	0.264488730667267	3.30190733772204	0.000960297883753034	0.00364795126414216
AT4G37610	1071.56029294863	2.95495758919382	0.692276666546483	4.25341527538216	2.10534617333401e-05	0.000126882013528173
AT4G37580	154.658790420531	1.50876021388037	0.73809432011324	2.04040331272459	0.0413101722356595	0.0880340237848783
AT4G37560	138.802578485111	-0.753777232075671	0.37598743890744	-2.03273547872473	0.0420792548250067	0.0894467636676957
AT4G37550	378.598760504875	0.472477632589843	0.292215535205095	1.61015628683255	0.107363741683308	0.190971890551254
AT4G37540	482.681873258956	-0.396417675059832	0.305555639015805	-1.29703786576491	0.194618158458132	0.306059672675335
AT4G37520	894.524338094954	0.2855805844912	0.503004343932874	0.567682379086973	0.570250658631975	0.691206140298127
AT4G37510	361.410519711183	-0.638836078571489	0.269225555993579	-2.38833535926702	0.0169248897799466	0.0421745741784537
AT4G37490	90.0734121408907	-1.03357008451854	0.334548844154535	-3.08444106842115	0.00203935007891254	0.00698936434884093
AT4G37460	411.622956592383	0.0807952224331715	0.15661421518473	0.514249928029549	0.607077264602474	0.723264674241687
AT4G37450	526.855484248629	-1.16317218393301	0.367673290975345	-3.16390936416865	0.00155665264466257	0.00555373878497972
