	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT4G40045	52.3221814738579	-0.465394205219759	0.362541619471061	-0.946535686562629	0.343875429301468	0.72165662390372
AT4G40050	384.800872360466	0.207464913432157	0.191566854064164	1.07736743033829	0.281316148622435	0.66431191387006
AT4G40060	987.542885808918	-0.213400610089123	0.360270378112156	-0.521293760165564	0.602162147137646	0.87703168976165
AT4G40080	179.651358809185	0.572269670293944	0.360843820974883	1.38112290992648	0.167241172527701	0.529678180314662
AT4G40090	42.0014227784354	-0.300187220796715	1.18646689602495	-0.81998252598769	0.412226068700668	0.77280741197161
AT4G38060	791.833510514279	1.7328967207432	0.461899756053392	3.67173393832002	0.000240910415431435	0.00847712649693887
AT4G38050	26.5956436434879	0.65453705882249	0.481944288304127	1.40798262874829	0.159136213861911	0.517492815120502
AT4G38040	236.435942373804	0.458526462722447	0.191367321389381	2.36853356097531	0.0178587600435136	0.168415745770395
AT4G38030	52.6608718040116	2.46202855074718	0.913603957268582	1.74212027576136	0.0814874003974763	0.383607443276552
AT4G38020	38.7763519860635	-0.252561074614649	0.394145466030211	-0.493474205361511	0.621677561488359	0.886029371985214
AT4G38000	2.18517586470963	0.795429020956126	1.26154181510752	0.779684296798606	0.435576724130134	NA
AT4G37980	675.424883354126	0.48978089546978	0.282096470261433	1.93202167682361	0.053356830423524	0.311943043909645
AT4G37970	38.0587054638249	0.0213608347368349	0.623230363940687	0.0542475967517158	0.956737899761787	0.997118828799434
AT4G37940	68.3019648774927	0.873995501155761	0.687085798897248	0.924844645792989	0.355046723506763	0.730774160119026
AT4G37930	5893.13956699986	0.123765088867476	0.368062254738848	0.538618551921208	0.590150083894965	0.871860403840755
AT4G37920	143.226549154468	0.0425349792278978	0.223605369938419	0.31466297250678	0.753017560768563	0.934991436660025
AT4G37910	2372.42056459207	0.0783748151371659	0.417752201003502	0.157794432696124	0.874618785762163	0.974217487934458
AT4G37880	355.666394005577	0.387863363514303	0.227589105634924	1.60815699344135	0.107800799486253	0.435824832902222
AT4G37870	4911.7207018339	0.25037906763415	0.263561371139767	0.440653991515225	0.659463509217698	0.900289971045678
AT4G37860	0.722118459557332	0	0.955023288109401	0	1	NA
AT4G37850	13.688704640527	-0.0669147251048174	1.08597268022387	-0.437873279214467	0.661478146629799	0.901302599534578
AT4G37840	2.31414248885045	-0.317192630050335	1.233577333867	-0.289728998371666	0.772023569889794	NA
AT4G37770	55.6091589245871	0.331708565794848	0.430108361185857	0.315366457249437	0.752483431608741	0.934794694512592
AT4G37760	264.776059797198	0.237397356307175	0.560802270622148	0.723890257717662	0.469133111492188	0.8065699867704
AT4G37750	330.836844591843	-0.805807073595482	0.507395542021364	-1.25975349660746	0.20775830026011	0.584137865041259
AT4G37740	95.2234317408263	-1.10720688349773	0.369325515467145	-2.76835212917857	0.00563405459657523	0.0811024487298738
AT4G37730	134.987660513027	-0.135127155008654	0.449465527903017	-0.282027223971333	0.777922635542858	0.941852626197202
AT4G37680	221.972155987789	-0.00126008026818729	0.34357490550366	0.0155086466703398	0.987626386277832	1
AT4G37670	171.077267662006	-0.187768708180038	0.272413680429516	-0.748890347020132	0.453923298891149	0.796739475558745
AT4G37610	1071.56029294863	0.415874284021712	0.697260120117022	0.541592815936213	0.588099041950014	0.871565482233076
AT4G37580	154.658790420531	-0.350397418520668	0.75154174857885	-1.11787906247446	0.263618648435955	0.649365176871867
AT4G37560	138.802578485111	-0.277088440175546	0.263742231781727	-0.868686651844515	0.385018544339522	0.753257666551251
AT4G37550	378.598760504875	0.206538079050986	0.273933759668952	0.684274414234593	0.493801900216514	0.821729387405297
AT4G37540	482.681873258956	0.0976557795045802	0.319048986729056	0.247749217687477	0.804328448489173	0.951395613988191
AT4G37520	894.524338094954	1.47606817135383	0.511446000881106	2.33106629477461	0.0197498642326102	0.177963339474188
AT4G37510	361.410519711183	0.0591003047641738	0.224336329081163	0.363955316843124	0.715891376314724	0.922427054832443
AT4G37490	90.0734121408907	-0.232055246245454	0.32924853835793	-0.619311536445483	0.53571114597228	0.846734731446931
