AGI_code	log2-fold change	P-value	FDR
AT2G38750	-1.283117743	4.68494E-06	4.55571E-05
AT4G15230	-1.282535112	2.91353E-05	0.000234618
AT3G01710	-1.281512318	1.63599E-06	1.78894E-05
AT1G63000	-1.280208351	3.50628E-19	4.1105E-17
AT3G43110	-1.279642541	6.28886E-07	7.64644E-06
AT5G03170	-1.278131547	4.29127E-12	1.50725E-10
AT5G06200	-1.276704023	2.37255E-10	6.06492E-09
AT4G28900	-1.276310764	3.14557E-08	5.17858E-07
AT5G51550	-1.275883566	2.12316E-18	2.15783E-16
AT5G58900	-1.275307213	2.29658E-12	8.6525E-11
AT1G27380	-1.2744991	1.77435E-08	3.08857E-07
AT3G45230	-1.274181414	1.58061E-12	6.08233E-11
AT2G17630	-1.273299344	1.41273E-11	4.52548E-10
AT4G28350	-1.272623254	0.006195092	0.023420922
AT4G01190	-1.269714267	0.004486652	0.017859456
AT1G09812	-1.269685496	0.012533975	0.041999313
AT4G31650	-1.269044991	4.26947E-09	8.38629E-08
AT3G50760	-1.268677885	3.71823E-11	1.09998E-09
AT1G33500	-1.26865956	0.001031963	0.005121208
AT2G34330	-1.267737809	0.000384727	0.002184357
AT5G43230	-1.2665567	2.18373E-06	2.31362E-05
AT1G68560	-1.265892588	3.12617E-20	4.16905E-18
AT2G23130	-1.264465307	0.003570241	0.014742452
AT1G33750	-1.264203502	1.45656E-12	5.62213E-11
AT3G59130	-1.26329733	1.02801E-05	9.23741E-05
AT3G05800	-1.262222109	1.53556E-10	4.06979E-09
AT3G54580	-1.261892155	0.001534918	0.007219013
AT2G29650	-1.261553298	5.71201E-09	1.0965E-07
AT5G01790	-1.261281571	0.002966308	0.01256077
AT4G37850	-1.260615922	0.000214856	0.001326616
AT4G03210	-1.260397431	3.19367E-05	0.000254253
AT3G20420	-1.259254972	4.45696E-05	0.000339183
AT5G01360	-1.25887813	1.92325E-11	6.0293E-10
AT3G02870	-1.258543077	1.93952E-13	8.72955E-12
AT2G47530	-1.256041213	4.23814E-07	5.40598E-06
AT3G53650	-1.255641745	3.36676E-07	4.39913E-06
AT3G15250	-1.254724473	3.11583E-07	4.10316E-06
AT1G78370	-1.254027646	3.15732E-07	4.14912E-06
AT2G33385	-1.252912279	2.43265E-07	3.27537E-06
AT5G26310	-1.252624901	4.23238E-11	1.23899E-09
AT1G26920	-1.252025163	6.90509E-14	3.45335E-12
AT2G47360	-1.251656053	1.48661E-14	8.36383E-13
AT5G45275	-1.251566132	1.01285E-13	4.85338E-12
AT2G30890	-1.249858204	0.00017113	0.001090327
AT3G60330	-1.24930841	1.20484E-05	0.00010648
AT3G51220	-1.247937828	9.68533E-05	0.000666445
AT3G03530	-1.247055853	0.007551142	0.027623588
AT3G15030	-1.246004582	2.42064E-07	3.26269E-06
AT5G16540	-1.244858904	5.74296E-11	1.64677E-09
AT2G38460	-1.244298497	2.34924E-09	4.84159E-08
AT1G67195	-1.241947375	1.67987E-06	1.83058E-05
AT1G64650	-1.241802305	7.10344E-17	5.73526E-15
AT1G33170	-1.239827724	7.12214E-17	5.73526E-15
AT1G80320	-1.239003229	1.16508E-06	1.32339E-05
AT1G48930	-1.238930242	3.05361E-08	5.05359E-07
AT5G07720	-1.238067918	2.21268E-08	3.76574E-07
AT5G05090	-1.236364677	1.03008E-11	3.38062E-10
AT1G12550	-1.236133982	2.43272E-09	4.9973E-08
AT1G51440	-1.236016795	0.000986909	0.004930671
AT1G66960	-1.234943205	0.011741849	0.03977867
AT3G63160	-1.234123583	0.00104545	0.005175805
AT3G13640	-1.233602822	0.003567839	0.014734946
AT1G13250	-1.23310117	2.05374E-11	6.3671E-10
AT2G32620	-1.232210037	3.24972E-13	1.40738E-11
AT1G56680	-1.231979391	1.88591E-07	2.60891E-06
AT2G31220	-1.231823978	0.001751923	0.008074095
AT3G50640	-1.229957622	1.43701E-14	8.1393E-13
AT1G20823	-1.229787687	0.0001501	0.000975069
AT5G61480	-1.229769362	3.6569E-18	3.58647E-16
AT3G27060	-1.226831148	2.26061E-15	1.47997E-13
AT4G32785	-1.225867532	6.5462E-10	1.52685E-08
AT5G36180	-1.224217598	3.57318E-07	4.63768E-06
AT4G20210	-1.222922352	1.48828E-13	6.88294E-12
AT1G69690	-1.221994057	2.22861E-10	5.71437E-09
AT2G44300	-1.220583527	3.00352E-16	2.23129E-14
AT2G17590	-1.219122387	0.010611555	0.036543824
AT4G34750	-1.219094409	7.59568E-12	2.54926E-10
AT3G28040	-1.218561379	1.17257E-11	3.8086E-10
AT1G78580	-1.217225917	6.05099E-10	1.42272E-08
AT1G73160	-1.216802503	1.17861E-08	2.14181E-07
AT3G14067	-1.216705741	8.5231E-12	2.83037E-10
AT3G09925	-1.216024634	1.55825E-07	2.21174E-06
AT1G14750	-1.216001442	9.13837E-08	1.35352E-06
AT5G24580	-1.215727552	1.405E-10	3.75139E-09
AT4G15165	-1.215616529	7.1288E-05	0.000510749
AT3G50340	-1.214741489	2.35394E-12	8.85538E-11
AT4G11780	-1.21406946	4.39912E-06	4.31943E-05
AT3G29250	-1.21355335	5.89325E-07	7.20715E-06
AT1G23980	-1.213393707	1.65748E-08	2.90654E-07
AT2G14890	-1.213220937	7.63194E-07	9.09948E-06
AT1G72720	-1.211590857	0.001076235	0.005309551
AT1G15180	-1.211363707	0.000199195	0.001244663
AT3G51750	-1.210496507	0.008438217	0.030301362
AT5G66270	-1.209979589	0.000289935	0.001714241
AT4G21120	-1.209645853	9.54882E-06	8.63883E-05
AT2G34910	-1.209444701	3.99484E-08	6.41746E-07
AT2G46780	-1.207930021	1.30245E-10	3.5073E-09
AT1G14240	-1.20749416	2.28959E-15	1.49506E-13
AT1G52343	-1.207451558	0.012119076	0.040804343
AT5G13250	-1.206956905	5.92805E-06	5.62562E-05
AT2G42485	-1.206953119	1.4971E-05	0.000128919
AT4G25160	-1.206919326	4.12428E-12	1.46206E-10
AT3G59710	-1.20509613	0.000372828	0.0021305
AT3G47740	-1.203813432	3.04964E-05	0.000243942
AT1G70470	-1.203379764	9.30361E-15	5.40317E-13
AT2G30380	-1.200619273	0.008030536	0.029074837
AT4G26320	-1.200415337	4.87132E-06	4.726E-05
AT1G32860	-1.20018299	4.29361E-12	1.50725E-10
AT1G52560	-1.199929687	0.000122759	0.000821384
AT2G39180	-1.199741292	6.79478E-15	4.02025E-13
AT4G37970	-1.199639753	2.6822E-06	2.77069E-05
AT4G23870	-1.198660029	1.51536E-09	3.27008E-08
AT4G02040	-1.198652522	2.69413E-08	4.512E-07
AT5G24660	-1.19838397	0.000280709	0.001667569
AT5G41471	-1.195773257	0.009486458	0.033310975
AT5G11790	-1.19504536	1.74795E-15	1.16553E-13
AT3G46940	-1.194976758	1.7002E-09	3.61938E-08
AT5G15970	-1.194420416	0.000177232	0.001125353
AT2G19170	-1.193892663	9.79885E-14	4.70438E-12
AT1G61795	-1.192876616	2.77334E-10	6.97626E-09
AT2G28710	-1.192175878	4.37475E-05	0.000333633
AT4G38690	-1.191187516	4.61678E-06	4.49984E-05
AT3G25670	-1.191049919	0.000497059	0.002722376
AT1G12060	-1.189948933	1.77708E-05	0.000150458
AT1G24575	-1.189825165	0.002134861	0.009500205
AT2G16895	-1.189562188	0.00633761	0.023886248
AT3G44730	-1.18937865	7.97662E-13	3.22197E-11
AT5G11110	-1.189301333	0.000121756	0.000815533
AT3G06360	-1.187798818	0.00011574	0.000780426
AT3G04330	-1.187402338	9.56601E-08	1.4101E-06
AT5G58610	-1.187331636	0.01529772	0.049388887
AT2G23840	-1.186708666	0.012060198	0.040638674
AT2G35760	-1.186632914	1.89237E-08	3.27141E-07
AT2G19690	-1.186375057	3.15061E-07	4.14247E-06
AT1G29230	-1.186289213	0.001836517	0.008373627
AT3G51470	-1.185863296	9.2792E-09	1.7172E-07
AT1G03410	-1.185530831	1.4929E-09	3.22904E-08
AT1G61410	-1.184947608	0.003249776	0.013583846
AT2G21590	-1.183902546	3.33671E-05	0.000264222
AT3G09080	-1.183608332	3.68822E-06	3.69776E-05
AT5G63660	-1.183576599	6.0782E-11	1.73109E-09
